 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=I have many local libraries where I can borrow books for reading pleasure and reference without having to buy the books .
1-1	I	B-ScrPart_customer	O	_	_	
1-2	have	O	B-UnrelEv	_	_	
1-3	many	O	O	_	_	
1-4	local	O	O	_	_	
1-5	libraries	B-ScrPart_library	O	_	_	
1-6	where	O	O	_	_	
1-7	I	B-ScrPart_customer	O	_	_	
1-8	can	O	O	_	_	
1-9	borrow	O	B-Evoking	_	_	
1-10	books	B-ScrPart_book	I-Evoking	_	_	
1-11	for	O	O	_	_	
1-12	reading	O	O	_	_	
1-13	pleasure	B-NPart	O	_	_	
1-14	and	O	O	_	_	
1-15	reference	B-NPart	O	_	_	
1-16	without	O	O	_	_	
1-17	having	O	O	_	_	
1-18	to	O	O	_	_	
1-19	buy	O	B-UnrelEv	_	_	
1-20	the	O	O	_	_	
1-21	books	B-ScrPart_book	O	_	_	
1-22	.	O	O	_	_	

#id=2
#text=I first find my valid library card and visit my local library .
2-1	I	B-ScrPart_customer	O	_	_	
2-2	first	O	O	_	_	
2-3	find	O	B-RelNScrEv	_	_	
2-4	my	B-ScrPart_customer	O	_	_	
2-5	valid	O	O	_	_	
2-6	library	B-ScrPart_library_card	O	_	_	
2-7	card	I-ScrPart_library_card|B-ScrPart_library_card	O	_	_	
2-8	and	O	O	_	_	
2-9	visit	O	B-Evoking	_	_	
2-10	my	B-ScrPart_customer	I-Evoking	_	_	
2-11	local	O	I-Evoking	_	_	
2-12	library	B-ScrPart_library	I-Evoking	_	_	
2-13	.	O	O	_	_	

#id=3
#text=The library is quiet with many different types of people there .
3-1	The	O	O	_	_	
3-2	library	B-ScrPart_library	O	_	_	
3-3	is	O	B-UnrelEv	_	_	
3-4	quiet	O	O	_	_	
3-5	with	O	O	_	_	
3-6	many	O	O	_	_	
3-7	different	O	O	_	_	
3-8	types	B-Head_of_Partitive	O	_	_	
3-9	of	O	O	_	_	
3-10	people	B-NPart	O	_	_	
3-11	there	O	O	_	_	
3-12	.	O	O	_	_	

#id=4
#text=It is relaxing place to just sit and browse through some books .
4-1	It	B-ScrPart_library	O	webanno.custom.Corefchains_	3-2	
4-2	is	O	B-UnrelEv	_	_	
4-3	relaxing	O	B-UnrelEv	_	_	
4-4	place	B-NPart	O	_	_	
4-5	to	O	O	_	_	
4-6	just	O	O	_	_	
4-7	sit	O	B-RelNScrEv	_	_	
4-8	and	O	O	_	_	
4-9	browse	O	B-RelNScrEv	_	_	
4-10	through	O	O	_	_	
4-11	some	O	O	_	_	
