 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=I stood at the train station with my luggage bags waiting to take the train to the nearest airport .
1-1	I	B-ScrPart_passenger	O	_	_	
1-2	stood	O	B-ScrEv_wait	_	_	
1-3	at	O	O	_	_	
1-4	the	O	O	_	_	
1-5	train	B-ScrPart_train_station	O	_	_	
1-6	station	I-ScrPart_train_station|B-ScrPart_train_station	O	_	_	
1-7	with	O	O	_	_	
1-8	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-1	
1-9	luggage	B-ScrPart_luggage	O	_	_	
1-10	bags	I-ScrPart_luggage|B-ScrPart_luggage	O	_	_	
1-11	waiting	O	B-ScrEv_wait	_	_	
1-12	to	O	O	_	_	
1-13	take	O	B-Evoking	_	_	
1-14	the	O	I-Evoking	_	_	
1-15	train	O	I-Evoking	_	_	
1-16	to	O	O	_	_	
1-17	the	O	O	_	_	
1-18	nearest	O	O	_	_	
1-19	airport	B-ScrPart_destination	O	_	_	
1-20	.	O	O	_	_	

#id=2
#text=I took the train solely due to convenience of not having to drive my car and leave it at the airport .
2-1	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-8	
2-2	took	O	B-Evoking	_	_	
2-3	the	O	I-Evoking	_	_	
2-4	train	B-ScrPart_train	I-Evoking	_	_	
2-5	solely	O	O	_	_	
2-6	due	O	O	_	_	
2-7	to	O	O	_	_	
2-8	convenience	O	O	_	_	
2-9	of	O	O	_	_	
2-10	not	O	O	_	_	
2-11	having	O	O	_	_	
2-12	to	O	O	_	_	
2-13	drive	O	B-UnrelEv	_	_	
2-14	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	2-1	
2-15	car	O	O	_	_	
2-16	and	O	O	_	_	
2-17	leave	O	B-UnrelEv	_	_	
2-18	it	O	O	_	_	
2-19	at	O	O	_	_	
2-20	the	O	O	_	_	
