 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My sons and I were invited by their grandmother to come for a visit .
1-1	My	B-webanno.custom.Participants_|B-webanno.custom.Participants_	B-ScrPart_passenger|B-ScrPart_passenger	O	_	_	
1-2	sons	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_passenger|B-ScrPart_passenger	O	_	_	
1-3	and	I-webanno.custom.Participants_	I-ScrPart_passenger	O	_	_	
1-4	I	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_passenger|B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-1	
1-5	were	O	O	O	_	_	
1-6	invited	O	O	B-UnrelEv	_	_	
1-7	by	O	O	O	_	_	
1-8	their	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-2	
1-9	grandmother	B-webanno.custom.Participants_	B-ScrPart_accomp_person	O	_	_	
1-10	to	O	O	O	_	_	
1-11	come	O	O	B-UnrelEv	_	_	
1-12	for	O	O	O	_	_	
1-13	a	O	O	O	_	_	
1-14	visit	O	O	B-UnrelEv	_	_	
1-15	.	O	O	O	_	_	

#id=2
#text=We decided to fly across the country .
2-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-1	
2-2	decided	O	O	B-UnrelEv	_	_	
2-3	to	O	O	O	_	_	
2-4	fly	O	O	B-Evoking	_	_	
2-5	across	O	O	I-Evoking	_	_	
2-6	the	O	O	I-Evoking	_	_	
2-7	country	O	O	I-Evoking	_	_	
2-8	.	O	O	O	_	_	

#id=3
#text=We went to the airport and purchased plane tickets .
3-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	2-1	
3-2	went	O	O	B-ScrEv_get_airport	_	_	
3-3	to	O	O	O	_	_	
3-4	the	O	O	O	_	_	
3-5	airport	B-webanno.custom.Participants_	B-ScrPart_airport	O	_	_	
3-6	and	O	O	O	_	_	
3-7	purchased	O	O	B-ScrEv_get_ticket	_	_	
3-8	plane	O	O	O	_	_	
3-9	tickets	B-webanno.custom.Participants_	B-ScrPart_ticket	O	_	_	
3-10	.	O	O	O	_	_	

#id=4
#text=Then we went home and packed our suitcases .
4-1	Then	O	O	O	_	_	
4-2	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-1	
4-3	went	O	O	B-UnrelEv	_	_	
4-4	home	O	O	O	_	_	
4-5	and	O	O	O	_	_	
4-6	packed	O	O	B-ScrEv_pack_luggage	_	_	
4-7	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-2	
4-8	suitcases	B-webanno.custom.Participants_	B-ScrPart_check_in_luggage	O	_	_	
4-9	.	O	O	O	_	_	

#id=5
#text=The next day we took a cab to the airport and hour early .
5-1	The	O	O	O	_	_	
5-2	next	O	O	O	_	_	
5-3	day	B-webanno.custom.Participants_	B-ScrPart_time/date	O	_	_	
5-4	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-7	
5-5	took	I-webanno.custom.Participants_	I-ScrPart_passenger	B-ScrEv_get_airport	webanno.custom.Corefchains_	4-7	
5-6	a	O	O	O	_	_	
5-7	cab	B-webanno.custom.Participants_	B-NPart	O	_	_	
5-8	to	O	O	O	_	_	
5-9	the	O	O	O	_	_	
5-10	airport	B-webanno.custom.Participants_	B-ScrPart_airport	O	webanno.custom.Corefchains_	3-5	
5-11	and	O	O	O	_	_	
5-12	hour	B-webanno.custom.Participants_	B-ScrPart_time/date	O	_	_	
5-13	early	O	O	O	_	_	
5-14	.	O	O	O	_	_	

#id=6
#text=We went to the airlines check in area an waited in line to show our tickets , get our seat assignments and check out bags .
6-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	5-4	
6-2	went	O	O	B-ScrEv_go_check_in	_	_	
6-3	to	O	O	O	_	_	
6-4	the	O	O	O	_	_	
6-5	airlines	B-webanno.custom.Participants_	B-MissScrPart	O	_	_	
6-6	check	B-webanno.custom.Participants_	B-ScrPart_check_in_desk	O	_	_	
6-7	in	I-webanno.custom.Participants_	I-ScrPart_check_in_desk	O	_	_	
6-8	area	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_check_in_desk|B-ScrPart_check_in_desk	O	_	_	
6-9	an	O	O	O	_	_	
6-10	waited	O	O	B-ScrEv_wait	_	_	
6-11	in	O	O	O	_	_	
6-12	line	B-webanno.custom.Participants_	B-ScrPart_line	O	_	_	
6-13	to	O	O	O	_	_	
6-14	show	O	O	B-ScrEv_present_ID/ticket	_	_	
6-15	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-1	
6-16	tickets	B-webanno.custom.Participants_	B-ScrPart_ticket	O	webanno.custom.Corefchains_	3-9	
6-17	,	O	O	O	_	_	
6-18	get	O	O	B-MissScrEv	_	_	
6-19	our	O	O	O	_	_	
6-20	seat	B-webanno.custom.Participants_	B-MissScrPart	O	_	_	
6-21	assignments	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-MissScrPart|B-MissScrPart	O	_	_	
6-22	and	O	O	O	_	_	
6-23	check	O	O	B-MissScrEv|B-MissScrEv	_	_	
6-24	out	O	O	I-MissScrEv	_	_	
6-25	bags	B-webanno.custom.Participants_	B-ScrPart_check_in_luggage	O	_	_	
6-26	.	O	O	O	_	_	

#id=7
#text=The we headed upstairs to the airplane gate .
7-1	The	O	O	O	_	_	
7-2	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-15	
