 # webanno.custom.Participants | Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=I decided to bake a cake for my daughter 's birthday last week .
1-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	_	_	
1-2	decided	O	O	B-UnrelEv	_	_	
1-3	to	O	O	O	_	_	
1-4	bake	O	O	B-Evoking	_	_	
1-5	a	O	O	I-Evoking	_	_	
1-6	cake	B-ScrPart_cake	B-webanno.custom.Participants_	I-Evoking	_	_	
1-7	for	O	O	O	_	_	
1-8	my	B-ScrPart_cook	B-webanno.custom.Participants_	O	_	_	
1-9	daughter	B-ScrPart_beneficiary	B-webanno.custom.Participants_	O	_	_	
1-10	's	O	O	O	_	_	
1-11	birthday	B-NPart	B-webanno.custom.Participants_	O	_	_	
1-12	last	O	O	O	_	_	
1-13	week	B-NPart	B-webanno.custom.Participants_	O	_	_	
1-14	.	O	O	O	_	_	

#id=2
#text=First I gathered the ingredients I needed - eggs , flour , sugar , oil , butter , and decorations !
2-1	First	O	O	O	_	_	
2-2	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	_	_	
2-3	gathered	O	O	B-ScrEv_get_ingredients	_	_	
2-4	the	O	O	O	_	_	
2-5	ingredients	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	_	_	
2-6	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	_	_	
2-7	needed	O	O	B-ScrEv_get_ingredients	_	_	
2-8	-	O	O	O	_	_	
2-9	eggs	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	_	_	
2-10	,	O	O	O	_	_	
2-11	flour	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	_	_	
2-12	,	O	O	O	_	_	
2-13	sugar	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	_	_	
2-14	,	O	O	O	_	_	
2-15	oil	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	_	_	
2-16	,	O	O	O	_	_	
2-17	butter	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	_	_	
2-18	,	O	O	O	_	_	
2-19	and	O	O	O	_	_	
2-20	decorations	B-ScrPart_decoration	B-webanno.custom.Participants_	O	_	_	
2-21	!	O	O	O	_	_	

#id=3
#text=I put it all out on the counter and then got my supplies .
3-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	_	_	
3-2	put	O	O	B-ScrEv_get_ingredients	_	_	
3-3	it	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	_	_	
3-4	all	O	O	O	_	_	
3-5	out	O	O	O	_	_	
3-6	on	O	O	O	_	_	
3-7	the	O	O	O	_	_	
3-8	counter	B-ScrPart_kitchen/location	B-webanno.custom.Participants_	O	_	_	
3-9	and	O	O	O	_	_	
3-10	then	O	O	O	_	_	
3-11	got	O	O	B-ScrEv_get_ingredients	_	_	
3-12	my	B-ScrPart_cook	B-webanno.custom.Participants_	O	_	_	
3-13	supplies	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	_	_	
3-14	.	O	O	O	_	_	

#id=4
#text=I needed measuring cups , bowls , a wooden spoon , and some cake pans .
4-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	_	_	
4-2	needed	O	O	B-ScrEv_get_utensils	_	_	
4-3	measuring	B-ScrPart_utensil	B-webanno.custom.Participants_	O	_	_	
4-4	cups	I-ScrPart_utensil|B-ScrPart_utensil	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	_	_	
4-5	,	O	O	O	_	_	
