 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=I was looking in the mirror two weeks ago and thought my hair was getting too long , it looked scruffy and was getting difficult to style .
1-1	I	B-ScrPart_customer	O	_	_	
1-2	was	O	O	_	_	
1-3	looking	O	B-UnrelEv	_	_	
1-4	in	O	O	_	_	
1-5	the	O	O	_	_	
1-6	mirror	B-ScrPart_mirror	O	_	_	
1-7	two	O	O	_	_	
1-8	weeks	B-ScrPart_time/date	O	_	_	
1-9	ago	O	O	_	_	
1-10	and	O	O	_	_	
1-11	thought	O	B-UnrelEv	_	_	
1-12	my	B-ScrPart_customer	O	_	_	
1-13	hair	B-ScrPart_hair	O	_	_	
1-14	was	O	O	_	_	
1-15	getting	O	B-UnrelEv	_	_	
1-16	too	O	O	_	_	
1-17	long	O	O	_	_	
1-18	,	O	O	_	_	
1-19	it	B-ScrPart_hair	O	_	_	
1-20	looked	O	B-UnrelEv	_	_	
1-21	scruffy	O	O	_	_	
1-22	and	O	O	_	_	
1-23	was	O	O	_	_	
1-24	getting	O	B-UnrelEv	_	_	
1-25	difficult	O	O	_	_	
1-26	to	O	O	_	_	
1-27	style	O	B-UnrelEv	_	_	
1-28	.	O	O	_	_	

#id=2
#text=I called my hairdresser and made an appointment to go and see her the following week to get a hair cut .
2-1	I	B-ScrPart_customer	O	_	_	
2-2	called	O	B-ScrEv_make_appointment	_	_	
2-3	my	B-ScrPart_customer	O	_	_	
2-4	hairdresser	B-ScrPart_hairdresser	O	_	_	
2-5	and	O	O	_	_	
2-6	made	O	B-ScrEv_make_appointment	_	_	
2-7	an	O	O	_	_	
2-8	appointment	B-ScrPart_appointment	O	_	_	
2-9	to	O	O	_	_	
2-10	go	O	B-UnrelEv	_	_	
2-11	and	O	O	_	_	
2-12	see	O	B-UnrelEv	_	_	
2-13	her	B-ScrPart_hairdresser	O	_	_	
2-14	the	O	O	_	_	
2-15	following	O	O	_	_	
