 # webanno.custom.Participants | Participants | Participant # webanno.custom.Events | Events
#id=1
#text=It was my mom 's birthday , so I decided to bake her a special cake .
1-1	It	B-No_label	B-webanno.custom.Participants_	O	
1-2	was	O	O	B-UnrelEv	
1-3	my	B-ScrPart_cook	B-webanno.custom.Participants_	O	
1-4	mom	B-ScrPart_beneficiary	B-webanno.custom.Participants_	O	
1-5	's	O	O	O	
1-6	birthday	B-NPart	B-webanno.custom.Participants_	O	
1-7	,	O	O	O	
1-8	so	O	O	O	
1-9	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
1-10	decided	O	O	B-UnrelEv	
1-11	to	O	O	O	
1-12	bake	O	O	B-Evoking	
1-13	her	B-ScrPart_beneficiary	B-webanno.custom.Participants_	I-Evoking	
1-14	a	O	O	I-Evoking	
1-15	special	O	O	I-Evoking	
1-16	cake	B-ScrPart_cake	B-webanno.custom.Participants_	I-Evoking	
1-17	.	O	O	O	

#id=2
#text=I looked in my cabinet and saw that I had everything except vanilla and frosting .
2-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
2-2	looked	O	O	B-ScrEv_get_ingredients	
2-3	in	O	O	O	
2-4	my	B-ScrPart_cook	B-webanno.custom.Participants_	O	
2-5	cabinet	B-ScrPart_cabinet	B-webanno.custom.Participants_	O	
2-6	and	O	O	O	
2-7	saw	O	O	B-ScrEv_get_ingredients	
2-8	that	O	O	O	
2-9	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
2-10	had	O	O	B-UnrelEv	
2-11	everything	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
2-12	except	O	O	O	
2-13	vanilla	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
2-14	and	O	O	O	
2-15	frosting	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
2-16	.	O	O	O	

#id=3
#text=I drove to the store and got the ingredients I needed and went back home .
3-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
3-2	drove	O	O	B-ScrEv_get_ingredients	
