 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=After breakfast I got in my car and drove to the grocery store to buy food for the next several days .
1-1	After	O	O	_	_	
1-2	breakfast	O	O	_	_	
1-3	I	B-ScrPart_shopper	O	webanno.custom.Corefchains_	1-6	
1-4	got	O	B-UnrelEv	_	_	
1-5	in	O	O	_	_	
1-6	my	B-ScrPart_shopper	O	webanno.custom.Corefchains_	2-1	
1-7	car	B-ScrPart_vehicle	O	webanno.custom.Corefchains_	12-11	
1-8	and	O	O	_	_	
1-9	drove	O	B-ScrEv_go_grocery	_	_	
1-10	to	O	O	_	_	
1-11	the	O	O	_	_	
1-12	grocery	B-ScrPart_grocery_shop	O	_	_	
1-13	store	I-ScrPart_grocery_shop|B-ScrPart_grocery_shop	O	webanno.custom.Corefchains_	3-5	
1-14	to	O	O	_	_	
1-15	buy	O	B-Evoking	_	_	
1-16	food	B-ScrPart_groceries	I-Evoking	_	_	
1-17	for	O	O	_	_	
1-18	the	O	O	_	_	
1-19	next	O	O	_	_	
1-20	several	O	O	_	_	
1-21	days	O	O	_	_	
1-22	.	O	O	_	_	

#id=2
#text=I like to walk so I parked in the back row of the parking lot .
2-1	I	B-ScrPart_shopper	O	webanno.custom.Corefchains_	2-6	
2-2	like	O	B-UnrelEv	_	_	
2-3	to	O	O	_	_	
2-4	walk	O	B-UnrelEv	_	_	
2-5	so	O	O	_	_	
2-6	I	B-ScrPart_shopper	O	webanno.custom.Corefchains_	3-1	
2-7	parked	O	B-RelNScrEv	_	_	
2-8	in	O	O	_	_	
2-9	the	O	O	_	_	
2-10	back	O	O	_	_	
2-11	row	O	O	_	_	
2-12	of	O	O	_	_	
2-13	the	O	O	_	_	
2-14	parking	O	O	_	_	
2-15	lot	O	O	_	_	
2-16	.	O	O	_	_	

#id=3
#text=I walked in the store and selected a shopping cart that did n't have stuck wheels .
3-1	I	B-ScrPart_shopper	O	webanno.custom.Corefchains_	4-2	
3-2	walked	O	B-ScrEv_enter	_	_	
3-3	in	O	O	_	_	
3-4	the	O	O	_	_	
3-5	store	B-ScrPart_grocery_shop	O	_	_	
3-6	and	O	O	_	_	
3-7	selected	O	B-ScrEv_take_shop_cart	_	_	
3-8	a	O	O	_	_	
3-9	shopping	B-ScrPart_shopping_cart/basket	O	_	_	
3-10	cart	I-ScrPart_shopping_cart/basket|B-ScrPart_shopping_cart/basket	O	webanno.custom.Corefchains_	3-11	
3-11	that	B-ScrPart_shopping_cart/basket	O	_	_	
3-12	did	O	O	_	_	
3-13	n't	O	O	_	_	
3-14	have	O	O	_	_	
3-15	stuck	O	B-RelNScrEv	_	_	
3-16	wheels	B-NPart	O	_	_	
3-17	.	O	O	_	_	

#id=4
#text=As I normally do I first proceeded to the deli department and got a number .
4-1	As	O	O	_	_	
4-2	I	B-ScrPart_shopper	O	webanno.custom.Corefchains_	4-5	
4-3	normally	O	O	_	_	
4-4	do	O	B-UnrelEv	_	_	
4-5	I	B-ScrPart_shopper	O	webanno.custom.Corefchains_	5-9	
4-6	first	O	O	_	_	
4-7	proceeded	O	B-ScrEv_move_section	_	_	
4-8	to	O	O	_	_	
4-9	the	O	O	_	_	
4-10	deli	B-ScrPart_section	O	_	_	
4-11	department	I-ScrPart_section|B-ScrPart_section	O	webanno.custom.Corefchains_	5-16	
4-12	and	O	O	_	_	
4-13	got	O	B-RelNScrEv	_	_	
4-14	a	O	O	_	_	
4-15	number	B-NPart	O	_	_	
4-16	.	O	O	_	_	

#id=5
#text=Since there were several people in front of me I started my shopping near the deli .
5-1	Since	O	O	_	_	
5-2	there	O	O	_	_	
5-3	were	O	B-UnrelEv	_	_	
5-4	several	O	O	_	_	
5-5	people	B-ScrPart_shopper	O	_	_	
5-6	in	O	O	_	_	
5-7	front	O	O	_	_	
5-8	of	O	O	_	_	
5-9	me	B-ScrPart_shopper	O	webanno.custom.Corefchains_	5-10	
5-10	I	B-ScrPart_shopper	O	webanno.custom.Corefchains_	5-12	
5-11	started	O	B-UnrelEv	_	_	
5-12	my	B-ScrPart_shopper	O	webanno.custom.Corefchains_	6-1	
5-13	shopping	O	B-Evoking	_	_	
5-14	near	O	O	_	_	
5-15	the	O	O	_	_	
