 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My friend and I were running late this morning .
1-1	My	B-webanno.custom.Participants_|B-webanno.custom.Participants_	B-ScrPart_passenger|B-ScrPart_passenger	O	_	_	
1-2	friend	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_passenger|B-ScrPart_passenger	O	_	_	
1-3	and	I-webanno.custom.Participants_	I-ScrPart_passenger	O	_	_	
1-4	I	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_passenger|B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-1	
1-5	were	O	O	O	_	_	
1-6	running	O	O	B-UnrelEv	_	_	
1-7	late	O	O	O	_	_	
1-8	this	O	O	O	_	_	
1-9	morning	B-webanno.custom.Participants_	B-ScrPart_time/date	O	_	_	
1-10	.	O	O	O	_	_	

#id=2
#text=We needed to catch our plane , there was no time to shower we just had to grab our luggage and run .
2-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-1	
2-2	needed	O	O	O	_	_	
2-3	to	O	O	O	_	_	
2-4	catch	O	O	B-UnrelEv	_	_	
2-5	our	O	O	O	_	_	
2-6	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	_	_	
2-7	,	O	O	O	_	_	
2-8	there	O	O	O	_	_	
2-9	was	O	O	O	_	_	
2-10	no	O	O	O	_	_	
2-11	time	O	O	O	_	_	
2-12	to	O	O	O	_	_	
2-13	shower	O	O	B-UnrelEv	_	_	
2-14	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	2-1	
2-15	just	O	O	O	_	_	
2-16	had	O	O	O	_	_	
2-17	to	O	O	O	_	_	
2-18	grab	O	O	B-RelNScrEv	_	_	
2-19	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	2-14	
2-20	luggage	B-webanno.custom.Participants_	B-ScrPart_check_in_luggage	O	_	_	
2-21	and	O	O	O	_	_	
2-22	run	O	O	B-UnrelEv	_	_	
2-23	.	O	O	O	_	_	

#id=3
#text=Since we were not flying out of the country we did n't need our passports , but we made sure to grab our boarding passes before we left the house .
3-1	Since	O	O	O	_	_	
3-2	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	2-19	
3-3	were	O	O	O	_	_	
3-4	not	O	O	O	_	_	
3-5	flying	O	O	B-Evoking	_	_	
3-6	out	O	O	O	_	_	
3-7	of	O	O	O	_	_	
3-8	the	O	O	O	_	_	
3-9	country	O	O	O	_	_	
3-10	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-2	
3-11	did	O	O	O	_	_	
3-12	n't	O	O	O	_	_	
3-13	need	O	O	B-UnrelEv	_	_	
3-14	our	O	O	O	_	_	
3-15	passports	B-webanno.custom.Participants_	B-ScrPart_passport/ID	O	_	_	
3-16	,	O	O	O	_	_	
3-17	but	O	O	O	_	_	
3-18	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-10	
3-19	made	O	O	B-UnrelEv	_	_	
3-20	sure	O	O	I-UnrelEv	_	_	
3-21	to	O	O	O	_	_	
3-22	grab	O	O	B-ScrEv_get_ticket	_	_	
3-23	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-18	
3-24	boarding	B-webanno.custom.Participants_	B-ScrPart_boarding_pass	O	_	_	
3-25	passes	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_boarding_pass|B-ScrPart_boarding_pass	O	_	_	
3-26	before	O	O	O	_	_	
3-27	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-23	
3-28	left	O	O	B-RelNScrEv	_	_	
3-29	the	O	O	O	_	_	
3-30	house	B-webanno.custom.Participants_	B-NPart	O	_	_	
3-31	.	O	O	O	_	_	

#id=4
#text=We called a cab and headed to the airport .
4-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-27	
4-2	called	O	O	B-UnrelEv	_	_	
4-3	a	O	O	O	_	_	
4-4	cab	O	O	O	_	_	
4-5	and	O	O	O	_	_	
4-6	headed	O	O	B-ScrEv_get_airport	_	_	
4-7	to	O	O	O	_	_	
4-8	the	O	O	O	_	_	
4-9	airport	B-webanno.custom.Participants_	B-ScrPart_airport	O	_	_	
4-10	.	O	O	O	_	_	

#id=5
#text=After we arrived at the airport , we checked our bags and went through security .
5-1	After	O	O	O	_	_	
5-2	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-1	
5-3	arrived	O	O	B-ScrEv_get_airport	_	_	
5-4	at	O	O	O	_	_	
5-5	the	O	O	O	_	_	
5-6	airport	B-webanno.custom.Participants_	B-ScrPart_airport	O	webanno.custom.Corefchains_	4-9	
5-7	,	O	O	O	_	_	
5-8	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	5-2	
5-9	checked	O	O	B-ScrEv_check_luggage	_	_	
5-10	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	5-8	
5-11	bags	B-webanno.custom.Participants_	B-ScrPart_check_in_luggage	O	webanno.custom.Corefchains_	2-20	
5-12	and	O	O	O	_	_	
5-13	went	O	O	B-ScrEv_go_security_checks	_	_	
5-14	through	O	O	O	_	_	
5-15	security	B-webanno.custom.Participants_	B-ScrPart_security_check	O	_	_	
5-16	.	O	O	O	_	_	

#id=6
#text=After going through security we headed to our gate and waited to board .
6-1	After	O	O	O	_	_	
6-2	going	O	O	B-ScrEv_go_security_checks	_	_	
6-3	through	O	O	O	_	_	
6-4	security	B-webanno.custom.Participants_	B-ScrPart_security_check	O	webanno.custom.Corefchains_	5-15	
6-5	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	5-10	
6-6	headed	O	O	B-ScrEv_find_terminal	_	_	
6-7	to	O	O	O	_	_	
6-8	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-5	
6-9	gate	B-webanno.custom.Participants_	B-ScrPart_terminal/gate	O	_	_	
6-10	and	O	O	O	_	_	
6-11	waited	O	O	B-ScrEv_wait_boarding	_	_	
6-12	to	O	O	O	_	_	
6-13	board	O	O	B-ScrEv_board_plane	_	_	
6-14	.	O	O	O	_	_	

#id=7
#text=When they finally said they were boarding our section we boarded the aircraft and put our checked luggage in the overhead compartments and took our seats .
7-1	When	O	O	O	_	_	
7-2	they	B-webanno.custom.Participants_	B-ScrPart_staff	O	_	_	
7-3	finally	O	O	O	_	_	
7-4	said	O	O	B-ScrEv_listen_call	_	_	
7-5	they	B-webanno.custom.Participants_	B-ScrPart_staff	O	webanno.custom.Corefchains_	7-2	
7-6	were	O	O	O	_	_	
7-7	boarding	O	O	B-ScrEv_board_plane	_	_	
7-8	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-8	
7-9	section	B-webanno.custom.Participants_	B-NPart	O	_	_	
7-10	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	7-8	
7-11	boarded	O	O	B-ScrEv_board_plane	_	_	
7-12	the	O	O	O	_	_	
7-13	aircraft	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	2-6	
7-14	and	O	O	O	_	_	
7-15	put	O	O	B-ScrEv_stow_away_luggage	_	_	
7-16	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	7-10	
7-17	checked	O	O	B-ScrEv_go_security_checks	_	_	
7-18	luggage	B-webanno.custom.Participants_	B-ScrPart_carry_on_luggage	O	_	_	
7-19	in	O	O	O	_	_	
7-20	the	O	O	O	_	_	
7-21	overhead	O	O	O	_	_	
7-22	compartments	B-webanno.custom.Participants_	B-NPart	O	_	_	
7-23	and	O	O	O	_	_	
7-24	took	O	O	B-ScrEv_take_seat	_	_	
7-25	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	7-16	
7-26	seats	B-webanno.custom.Participants_	B-ScrPart_seat	O	_	_	
7-27	.	O	O	O	_	_	

#id=8
#text=Our part was done , we now just had to wait for the plane to take off .
8-1	Our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	7-25	
8-2	part	O	O	O	_	_	
8-3	was	O	O	O	_	_	
8-4	done	O	O	B-UnrelEv	_	_	
8-5	,	O	O	O	_	_	
8-6	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	8-1	
8-7	now	O	O	O	_	_	
8-8	just	O	O	O	_	_	
8-9	had	O	O	O	_	_	
8-10	to	O	O	O	_	_	
8-11	wait	O	O	B-RelNScrEv	_	_	
8-12	for	O	O	O	_	_	
8-13	the	O	O	O	_	_	
8-14	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	7-13	
8-15	to	O	O	O	_	_	
8-16	take	O	O	B-ScrEv_take_off	_	_	
8-17	off	O	O	I-ScrEv_take_off	_	_	
8-18	.	O	O	O	_	_	

#id=9
#text=I was chewing gum so that my ears would not pop when we took off . 
9-1	I	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-4	
9-2	was	O	O	O	_	_	
9-3	chewing	O	O	B-UnrelEv	_	_	
9-4	gum	O	O	O	_	_	
9-5	so	O	O	O	_	_	
9-6	that	O	O	O	_	_	
9-7	my	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	9-1	
9-8	ears	O	O	O	_	_	
9-9	would	O	O	O	_	_	
9-10	not	O	O	O	_	_	
9-11	pop	O	O	B-UnrelEv	_	_	
9-12	when	O	O	O	_	_	
9-13	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	8-6	
9-14	took	O	O	B-ScrEv_take_off	_	_	
9-15	off	O	O	I-ScrEv_take_off	_	_	
9-16	.	O	O	O	_	_	

