 # webanno.custom.Events | Events # webanno.custom.Participants | Participant # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=Being that we needed food in the house , I went through the cupboards and refrigerator to see what was there and made a list of what we needed .
1-1	Being	B-UnrelEv	O	_	_	
1-2	that	O	O	_	_	
1-3	we	O	B-ScrPart_shopper	_	_	
1-4	needed	B-UnrelEv	O	_	_	
1-5	food	O	B-ScrPart_groceries	_	_	
1-6	in	O	O	_	_	
1-7	the	O	O	_	_	
1-8	house	O	B-NPart	_	_	
1-9	,	O	O	_	_	
1-10	I	O	B-ScrPart_shopper	_	_	
1-11	went	B-RelNScrEv	O	_	_	
1-12	through	O	O	_	_	
1-13	the	O	O	_	_	
1-14	cupboards	O	B-NPart	_	_	
1-15	and	O	O	_	_	
1-16	refrigerator	O	B-NPart	_	_	
1-17	to	O	O	_	_	
1-18	see	B-RelNScrEv	O	_	_	
1-19	what	O	O	_	_	
1-20	was	O	O	_	_	
1-21	there	O	O	_	_	
1-22	and	O	O	_	_	
1-23	made	B-ScrEv_make_list	O	_	_	
1-24	a	O	O	_	_	
1-25	list	O	B-ScrPart_grocery_list	_	_	
1-26	of	O	O	_	_	
1-27	what	O	O	_	_	
1-28	we	O	B-ScrPart_shopper	_	_	
1-29	needed	B-UnrelEv	O	_	_	
1-30	.	O	O	_	_	

#id=2
#text=We were almost out of food so it was a long list .
2-1	We	O	B-ScrPart_shopper	_	_	
2-2	were	B-UnrelEv	O	_	_	
2-3	almost	O	O	_	_	
2-4	out	O	O	_	_	
2-5	of	O	O	_	_	
2-6	food	O	B-ScrPart_groceries	_	_	
2-7	so	O	O	_	_	
2-8	it	O	B-ScrPart_grocery_list	_	_	
2-9	was	B-UnrelEv	O	_	_	
2-10	a	O	O	_	_	
2-11	long	O	O	_	_	
2-12	list	O	B-ScrPart_grocery_list	_	_	
2-13	.	O	O	_	_	

#id=3
#text=Then I drove to the grocery store .
3-1	Then	O	O	_	_	
3-2	I	O	B-ScrPart_shopper	_	_	
3-3	drove	B-ScrEv_go_grocery	O	_	_	
3-4	to	O	O	_	_	
3-5	the	O	O	_	_	
3-6	grocery	O	B-ScrPart_grocery_shop	_	_	
3-7	store	O	I-ScrPart_grocery_shop|B-ScrPart_grocery_shop	_	_	
3-8	.	O	O	_	_	

#id=4
#text=First I went to the meat isle and picked out some juicy steaks and a chicken .
4-1	First	O	B-No_label	_	_	
4-2	I	O	B-ScrPart_shopper	_	_	
4-3	went	B-ScrEv_move_section	O	_	_	
4-4	to	O	O	_	_	
4-5	the	O	O	_	_	
4-6	meat	O	B-ScrPart_section	_	_	
4-7	isle	O	I-ScrPart_section|B-ScrPart_section	_	_	
4-8	and	O	O	_	_	
4-9	picked	B-ScrEv_get_groceries	O	_	_	
4-10	out	I-ScrEv_get_groceries	O	_	_	
4-11	some	O	O	_	_	
4-12	juicy	O	O	_	_	
4-13	steaks	O	B-ScrPart_groceries	_	_	
4-14	and	O	O	_	_	
4-15	a	O	O	_	_	
4-16	chicken	O	B-ScrPart_groceries	_	_	
4-17	.	O	O	_	_	

#id=5
#text=Then I went the the vegetable isle and picked out some fresh asparagus , broccoli , and salad fixings .
5-1	Then	O	O	_	_	
5-2	I	O	B-ScrPart_shopper	_	_	
5-3	went	B-ScrEv_move_section	O	_	_	
5-4	the	O	O	_	_	
5-5	the	O	O	_	_	
5-6	vegetable	O	B-ScrPart_section	_	_	
5-7	isle	O	I-ScrPart_section|B-ScrPart_section	_	_	
5-8	and	O	O	_	_	
5-9	picked	B-ScrEv_get_groceries	O	_	_	
5-10	out	I-ScrEv_get_groceries	O	_	_	
5-11	some	O	O	_	_	
5-12	fresh	O	O	_	_	
5-13	asparagus	O	B-ScrPart_groceries	_	_	
5-14	,	O	O	_	_	
5-15	broccoli	O	B-ScrPart_groceries	_	_	
5-16	,	O	O	_	_	
5-17	and	O	O	_	_	
5-18	salad	O	B-ScrPart_groceries	_	_	
5-19	fixings	O	I-ScrPart_groceries|B-ScrPart_groceries	_	_	
5-20	.	O	O	_	_	

#id=6
#text=Next I went to the canned goods and picked out some cans to keep in the house .
6-1	Next	O	O	_	_	
6-2	I	O	B-ScrPart_shopper	_	_	
6-3	went	B-ScrEv_move_section	O	_	_	
6-4	to	O	O	_	_	
6-5	the	O	O	_	_	
6-6	canned	O	B-ScrPart_section	_	_	
6-7	goods	O	I-ScrPart_section|B-ScrPart_section	_	_	
6-8	and	O	O	_	_	
6-9	picked	B-ScrEv_get_groceries	O	_	_	
6-10	out	I-ScrEv_get_groceries	O	_	_	
6-11	some	O	O	_	_	
6-12	cans	O	B-ScrPart_groceries	_	_	
6-13	to	O	O	_	_	
6-14	keep	B-UnrelEv	O	_	_	
6-15	in	O	O	_	_	
6-16	the	O	O	_	_	
6-17	house	O	B-NPart	webanno.custom.Corefchains_	1-8	
6-18	.	O	O	_	_	

#id=7
#text=I picked out some chili , soups and stews .
7-1	I	O	B-ScrPart_shopper	_	_	
7-2	picked	B-ScrEv_get_groceries	O	_	_	
7-3	out	I-ScrEv_get_groceries	O	_	_	
7-4	some	O	O	_	_	
7-5	chili	O	B-ScrPart_groceries	_	_	
7-6	,	O	O	_	_	
7-7	soups	O	B-ScrPart_groceries	_	_	
7-8	and	O	O	_	_	
7-9	stews	O	B-ScrPart_groceries	_	_	
7-10	.	O	O	_	_	

#id=8
#text=These are always good to have in the house for a quick meal .
8-1	These	O	B-ScrPart_groceries	_	_	
8-2	are	B-UnrelEv	O	_	_	
8-3	always	O	O	_	_	
8-4	good	O	O	_	_	
8-5	to	O	O	_	_	
8-6	have	B-UnrelEv	O	_	_	
8-7	in	O	O	_	_	
8-8	the	O	O	_	_	
8-9	house	O	B-NPart	_	_	
8-10	for	O	O	_	_	
8-11	a	O	O	_	_	
8-12	quick	O	O	_	_	
8-13	meal	O	B-NPart	_	_	
8-14	.	O	O	_	_	

#id=9
#text=Then I went to the dairy section and picked out some sour cream and milk .
9-1	Then	O	O	_	_	
9-2	I	O	B-ScrPart_shopper	_	_	
9-3	went	B-ScrEv_move_section	O	_	_	
9-4	to	O	O	_	_	
9-5	the	O	O	_	_	
9-6	dairy	O	B-ScrPart_section	_	_	
9-7	section	O	I-ScrPart_section|B-ScrPart_section	_	_	
9-8	and	O	O	_	_	
9-9	picked	B-ScrEv_get_groceries	O	_	_	
9-10	out	I-ScrEv_get_groceries	O	_	_	
9-11	some	O	O	_	_	
9-12	sour	O	B-ScrPart_groceries	_	_	
9-13	cream	O	I-ScrPart_groceries|B-ScrPart_groceries	_	_	
9-14	and	O	O	_	_	
9-15	milk	O	B-ScrPart_groceries	_	_	
9-16	.	O	O	_	_	

#id=10
#text=Then I pushed the cart to the payment isles and paid for the groceries . 
10-1	Then	O	O	_	_	
10-2	I	O	B-ScrPart_shopper	_	_	
10-3	pushed	B-ScrEv_go_checkout	O	_	_	
10-4	the	O	O	_	_	
10-5	cart	O	B-ScrPart_shopping_cart/basket	_	_	
10-6	to	O	O	_	_	
10-7	the	O	O	_	_	
10-8	payment	O	B-ScrPart_cash_desk	_	_	
