 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My husband always wanted a lemon tree because he loves lemons .
1-1	My	B-ScrPart_gardener	O	coref_group_I_persons	2-4	
1-2	husband	B-ScrPart_gardener	O	webanno.custom.Corefchains_	1-9	
1-3	always	O	O	_	_	
1-4	wanted	O	B-ScrEv_choose_tree	_	_	
1-5	a	O	O	_	_	
1-6	lemon	B-ScrPart_tree	O	_	_	
1-7	tree	I-ScrPart_tree|B-ScrPart_tree	O	webanno.custom.Corefchains_	2-8	
1-8	because	O	O	_	_	
1-9	he	B-ScrPart_gardener	O	webanno.custom.Corefchains_	2-2	
1-10	loves	O	B-UnrelEv	_	_	
1-11	lemons	O	O	_	_	
1-12	.	O	O	_	_	

#id=2
#text=For his birthday we surprised him with one .
2-1	For	O	O	_	_	
2-2	his	B-ScrPart_gardener	O	webanno.custom.Corefchains_	2-6	
2-3	birthday	O	O	_	_	
2-4	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	3-1	
2-5	surprised	O	B-???	_	_	
2-6	him	B-ScrPart_gardener	O	webanno.custom.Corefchains_	5-10	
2-7	with	O	O	_	_	
2-8	one	B-ScrPart_tree	O	webanno.custom.Corefchains_	3-9	
2-9	.	O	O	_	_	

#id=3
#text=We went to the nursery and bought the tree .
3-1	We	B-ScrPart_gardener	O	webanno.custom.Corefchains_	4-1	
3-2	went	O	B-RelNScrEv	_	_	
3-3	to	O	O	_	_	
3-4	the	O	O	_	_	
3-5	nursery	B-ScrPart_shop	O	webanno.custom.Corefchains_	8-14	
3-6	and	O	O	_	_	
3-7	bought	O	B-ScrEv_get_tree	_	_	
3-8	the	O	O	_	_	
3-9	tree	B-ScrPart_tree	O	webanno.custom.Corefchains_	4-3	
3-10	.	O	O	_	_	

#id=4
#text=We got it into the back of the truck and drove home .
4-1	We	B-ScrPart_gardener	O	webanno.custom.Corefchains_	5-1	
4-2	got	O	B-RelNScrEv	_	_	
4-3	it	B-ScrPart_tree	O	webanno.custom.Corefchains_	5-4	
4-4	into	O	O	_	_	
4-5	the	O	O	_	_	
4-6	back	O	O	_	_	
4-7	of	O	O	_	_	
4-8	the	O	O	_	_	
4-9	truck	B-NPart	O	_	_	
4-10	and	O	O	_	_	
4-11	drove	O	B-RelNScrEv	_	_	
4-12	home	B-NPart	O	_	_	
4-13	.	O	O	_	_	

#id=5
#text=We got the tree into the back yard and he was very surprised .
5-1	We	B-ScrPart_gardener	O	coref_group_we_husband	6-1	
5-2	got	O	B-RelNScrEv	_	_	
5-3	the	O	O	_	_	
5-4	tree	B-ScrPart_tree	O	webanno.custom.Corefchains_	7-9	
5-5	into	O	O	_	_	
5-6	the	O	O	_	_	
5-7	back	B-ScrPart_location_garden	O	_	_	
