 # webanno.custom.Participants | Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=I like baking cakes with my granddaughter .
1-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	1-6	
1-2	like	O	O	B-UnrelEv	_	_	
1-3	baking	O	O	B-Evoking	_	_	
1-4	cakes	B-ScrPart_cake	B-webanno.custom.Participants_	I-Evoking	webanno.custom.Corefchains_	3-16	
1-5	with	O	O	O	_	_	
1-6	my	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	2-1	
1-7	granddaughter	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	2-3	
1-8	.	O	O	O	_	_	

#id=2
#text=I let her help pour in the ingredients and mix them together .
2-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	3-1	
2-2	let	O	O	B-UnrelEv	_	_	
2-3	her	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	3-9	
2-4	help	O	O	B-UnrelEv	_	_	
2-5	pour	O	O	B-ScrEv_add_ingredients	_	_	
2-6	in	O	O	I-ScrEv_add_ingredients	_	_	
2-7	the	O	O	O	_	_	
2-8	ingredients	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	2-11	
2-9	and	O	O	O	_	_	
2-10	mix	O	O	B-ScrEv_prepare_ingredients	_	_	
2-11	them	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	5-5	
2-12	together	O	O	O	_	_	
2-13	.	O	O	O	_	_	

#id=3
#text=I take a box of cake mix to her house so we can bake a cake together .
3-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_|coref_group_I_granddaughter	9-1|3-12	
3-2	take	O	O	B-ScrEv_get_ingredients	_	_	
3-3	a	O	O	O	_	_	
3-4	box	O	O	O	_	_	
3-5	of	O	O	O	_	_	
3-6	cake	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	_	_	
3-7	mix	I-ScrPart_ingredients|B-ScrPart_ingredients	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	4-13	
3-8	to	O	O	O	_	_	
3-9	her	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_|coref_group_I_granddaughter	16-3|3-12	
3-10	house	O	O	O	_	_	
3-11	so	O	O	O	_	_	
3-12	we	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	4-1	
3-13	can	O	O	O	_	_	
3-14	bake	O	O	B-Evoking	_	_	
3-15	a	O	O	I-Evoking	_	_	
3-16	cake	B-ScrPart_cake	B-webanno.custom.Participants_	I-Evoking	webanno.custom.Corefchains_	5-10	
3-17	together	O	O	O	_	_	
3-18	.	O	O	O	_	_	

#id=4
#text=We read the directions on the back of the box of cake mix .
4-1	We	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	5-2	
4-2	read	O	O	B-ScrEv_choose_recipe	_	_	
4-3	the	O	O	O	_	_	
4-4	directions	B-ScrPart_baking_instructions	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	9-11	
4-5	on	O	O	O	_	_	
4-6	the	O	O	O	_	_	
4-7	back	O	O	O	_	_	
4-8	of	O	O	O	_	_	
4-9	the	O	O	O	_	_	
4-10	box	B-ScrPart_recipe_source	B-webanno.custom.Participants_	O	_	_	
4-11	of	O	O	O	_	_	
4-12	cake	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	_	_	
4-13	mix	I-ScrPart_ingredients|B-ScrPart_ingredients	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	19-6	
4-14	.	O	O	O	_	_	

#id=5
#text=Then we get out everything needed to make the cake .
5-1	Then	O	O	O	_	_	
5-2	we	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	6-1	
5-3	get	O	O	B-ScrEv_get_ingredients	_	_	
5-4	out	O	O	I-ScrEv_get_ingredients	_	_	
5-5	everything	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	_	_	
5-6	needed	O	O	B-ScrEv_get_ingredients	_	_	
5-7	to	O	O	O	_	_	
5-8	make	O	O	B-Evoking	_	_	
5-9	the	O	O	I-Evoking	_	_	
5-10	cake	B-ScrPart_cake	B-webanno.custom.Participants_	I-Evoking	webanno.custom.Corefchains_	10-11	
5-11	.	O	O	O	_	_	

#id=6
#text=We usually need eggs , cooking oil , and water or milk .
6-1	We	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	7-1	
