 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events
#id=1
#text=My wife and I were flying to New York City for a vacation .
1-1	My	B-webanno.custom.Participants_|B-webanno.custom.Participants_	B-ScrPart_passenger|B-ScrPart_passenger	O	
1-2	wife	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_passenger|B-ScrPart_passenger	O	
1-3	and	I-webanno.custom.Participants_	I-ScrPart_passenger	O	
1-4	I	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_passenger|B-ScrPart_passenger	O	
1-5	were	O	O	O	
1-6	flying	O	O	B-Evoking	
1-7	to	O	O	O	
1-8	New	B-webanno.custom.Participants_	B-ScrPart_target_location	O	
1-9	York	I-webanno.custom.Participants_	I-ScrPart_target_location	O	
1-10	City	I-webanno.custom.Participants_	I-ScrPart_target_location	O	
1-11	for	O	O	O	
1-12	a	O	O	O	
1-13	vacation	B-webanno.custom.Participants_	B-NPart	O	
1-14	.	O	O	O	

#id=2
#text=We both like to fly .
2-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
2-2	both	O	O	O	
2-3	like	O	O	B-UnrelEv	
2-4	to	O	O	O	
2-5	fly	O	O	B-Evoking	
2-6	.	O	O	O	

#id=3
#text=After going through the preliminaries and waiting in the lounge , we were soon stepping onto the plane and trying to find our seats .
3-1	After	O	O	O	
3-2	going	O	O	B-???	
3-3	through	O	O	I-???	
3-4	the	O	O	O	
3-5	preliminaries	B-webanno.custom.Participants_	B-???	O	
3-6	and	O	O	O	
3-7	waiting	O	O	B-ScrEv_wait_boarding	
3-8	in	O	O	O	
3-9	the	O	O	O	
3-10	lounge	B-webanno.custom.Participants_	B-NPart	O	
3-11	,	O	O	O	
3-12	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
3-13	were	O	O	O	
3-14	soon	O	O	O	
3-15	stepping	O	O	B-ScrEv_board_plane	
3-16	onto	O	O	I-ScrEv_board_plane	
3-17	the	O	O	O	
3-18	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	
3-19	and	O	O	O	
3-20	trying	O	O	O	
3-21	to	O	O	O	
3-22	find	O	O	B-RelNScrEv	
3-23	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
3-24	seats	B-webanno.custom.Participants_	B-ScrPart_seat	O	
3-25	.	O	O	O	

#id=4
#text=Planes can be crowded when one is getting on or off , but we found our seats and buckled in .
4-1	Planes	B-webanno.custom.Participants_	B-ScrPart_plane	O	
4-2	can	O	O	O	
4-3	be	O	O	B-UnrelEv	
4-4	crowded	O	O	O	
4-5	when	O	O	O	
4-6	one	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
4-7	is	O	O	O	
4-8	getting	O	O	B-???	
4-9	on	O	O	O	
4-10	or	O	O	O	
4-11	off	O	O	O	
4-12	,	O	O	O	
4-13	but	O	O	O	
4-14	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
4-15	found	O	O	B-RelNScrEv	
4-16	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
4-17	seats	B-webanno.custom.Participants_	B-ScrPart_seat	O	
4-18	and	O	O	O	
4-19	buckled	O	O	B-ScrEv_buckle_seat_belt	
4-20	in	O	O	O	
4-21	.	O	O	O	

#id=5
#text=It took a bit of time for everyone to settle in , but before long the plane was taxiing down the runway .
5-1	It	B-webanno.custom.Participants_	B-No_label	O	
5-2	took	O	O	B-UnrelEv	
5-3	a	O	O	O	
5-4	bit	B-webanno.custom.Participants_	B-Head_of_Partitive	O	
5-5	of	O	O	O	
5-6	time	B-webanno.custom.Participants_	B-ScrPart_time/date	O	
5-7	for	O	O	O	
5-8	everyone	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
5-9	to	O	O	O	
5-10	settle	O	O	B-ScrEv_take_seat	
5-11	in	O	O	I-ScrEv_take_seat	
5-12	,	O	O	O	
5-13	but	O	O	O	
5-14	before	O	O	O	
5-15	long	O	O	O	
5-16	the	O	O	O	
5-17	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	
5-18	was	O	O	O	
5-19	taxiing	O	O	B-ScrEv_take_off_preparations	
5-20	down	O	O	O	
5-21	the	O	O	O	
5-22	runway	B-webanno.custom.Participants_	B-ScrPart_location_airplane	O	
5-23	.	O	O	O	

#id=6
#text=When the plane lifted off , I could feel it tilt to one side and then right itself again .
6-1	When	O	O	O	
6-2	the	O	O	O	
6-3	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	
6-4	lifted	O	O	B-ScrEv_take_off	
6-5	off	O	O	I-ScrEv_take_off	
6-6	,	O	O	O	
