 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My backyard was looking a little empty , so I decided I would plant something in it .
1-1	My	B-ScrPart_gardener	O	webanno.custom.Corefchains_	1-10	
1-2	backyard	O	O	_	_	
1-3	was	O	O	_	_	
1-4	looking	O	B-UnrelEv	_	_	
1-5	a	O	O	_	_	
1-6	little	O	O	_	_	
1-7	empty	O	O	_	_	
1-8	,	O	O	_	_	
1-9	so	O	O	_	_	
1-10	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	1-12	
1-11	decided	O	B-UnrelEv	_	_	
1-12	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	2-1	
1-13	would	O	O	_	_	
1-14	plant	O	B-Evoking	_	_	
1-15	something	B-ScrPart_tree	I-Evoking	webanno.custom.Corefchains_	2-5	
1-16	in	O	O	_	_	
1-17	it	O	O	_	_	
1-18	.	O	O	_	_	

#id=2
#text=I decided on a tree .
2-1	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	3-1	
2-2	decided	O	B-ScrEv_choose_tree	_	_	
2-3	on	O	I-ScrEv_choose_tree	_	_	
2-4	a	O	O	_	_	
2-5	tree	B-ScrPart_tree	O	webanno.custom.Corefchains_	4-4	
2-6	.	O	O	_	_	

#id=3
#text=I went out and bought some tree seeds .
3-1	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	4-1	
3-2	went	O	B-RelNScrEv	_	_	
3-3	out	O	I-RelNScrEv	_	_	
3-4	and	O	O	_	_	
3-5	bought	O	B-ScrEv_get_tree	_	_	
3-6	some	O	O	_	_	
3-7	tree	B-ScrPart_seeds	O	_	_	
3-8	seeds	I-ScrPart_seeds|B-ScrPart_seeds	O	webanno.custom.Corefchains_	7-3	
3-9	.	O	O	_	_	

#id=4
#text=I picked a species that I thought would grow well in the sun since my back yard receives a lot of sunlight .
4-1	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	4-6	
4-2	picked	O	B-ScrEv_choose_tree	_	_	
4-3	a	O	O	_	_	
4-4	species	B-ScrPart_tree	O	webanno.custom.Corefchains_	4-5	
4-5	that	B-ScrPart_tree	O	webanno.custom.Corefchains_	13-6	
4-6	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	4-15	
4-7	thought	O	B-UnrelEv	_	_	
4-8	would	O	O	_	_	
4-9	grow	O	B-RelNScrEv	_	_	
4-10	well	O	O	_	_	
4-11	in	O	O	_	_	
4-12	the	O	O	_	_	
4-13	sun	O	O	_	_	
4-14	since	O	O	_	_	
4-15	my	B-ScrPart_gardener	O	webanno.custom.Corefchains_	5-2	
4-16	back	O	O	_	_	
4-17	yard	O	O	_	_	
4-18	receives	O	B-UnrelEv	_	_	
4-19	a	O	O	_	_	
4-20	lot	O	O	_	_	
4-21	of	O	O	_	_	
4-22	sunlight	O	O	_	_	
4-23	.	O	O	_	_	

#id=5
#text=Once I was back home , I brought out all my gardening tools .
5-1	Once	O	O	_	_	
5-2	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	5-7	
5-3	was	O	B-RelNScrEv	_	_	
5-4	back	O	I-RelNScrEv	_	_	
5-5	home	B-NPart	O	_	_	
5-6	,	O	O	_	_	
5-7	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	5-11	
5-8	brought	O	B-ScrEv_get_tools	_	_	
5-9	out	O	I-ScrEv_get_tools	_	_	
5-10	all	O	O	_	_	
5-11	my	B-ScrPart_gardener	O	webanno.custom.Corefchains_	6-1	
5-12	gardening	B-ScrPart_gardening_tool	O	_	_	
5-13	tools	I-ScrPart_gardening_tool|B-ScrPart_gardening_tool	O	webanno.custom.Corefchains_|webanno.custom.Corefchains_|webanno.custom.Corefchains_	7-5|6-8|6-4	
5-14	.	O	O	_	_	

#id=6
#text=I found a shovel and a watering can .
6-1	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	7-2	
6-2	found	O	B-ScrEv_get_tools	_	_	
6-3	a	O	O	_	_	
6-4	shovel	B-ScrPart_gardening_tool	O	_	_	
6-5	and	O	O	_	_	
6-6	a	O	O	_	_	
6-7	watering	B-ScrPart_gardening_tool	O	_	_	
6-8	can	I-ScrPart_gardening_tool|B-ScrPart_gardening_tool	O	webanno.custom.Corefchains_	11-10	
6-9	.	O	O	_	_	

#id=7
#text=With my seeds and tools , I found a spot in my yard that looked like it would get enough sunshine .
7-1	With	O	O	_	_	
7-2	my	B-ScrPart_gardener	O	webanno.custom.Corefchains_	7-7	
7-3	seeds	B-ScrPart_seeds	O	webanno.custom.Corefchains_	8-9	
7-4	and	O	O	_	_	
7-5	tools	B-ScrPart_gardening_tool	O	webanno.custom.Corefchains_	12-10	
7-6	,	O	O	_	_	
7-7	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	7-12	
7-8	found	O	B-ScrEv_find_place	_	_	
7-9	a	O	O	_	_	
7-10	spot	B-ScrPart_location_garden	O	webanno.custom.Corefchains_	7-14	
7-11	in	O	O	_	_	
7-12	my	B-ScrPart_gardener	O	webanno.custom.Corefchains_	8-3	
7-13	yard	O	O	_	_	
7-14	that	B-ScrPart_location_garden	O	webanno.custom.Corefchains_	7-17	
7-15	looked	O	B-UnrelEv	_	_	
7-16	like	O	O	_	_	
7-17	it	B-ScrPart_location_garden	O	_	_	
7-18	would	O	O	_	_	
7-19	get	O	B-RelNScrEv	_	_	
7-20	enough	O	O	_	_	
7-21	sunshine	O	O	_	_	
7-22	.	O	O	_	_	

#id=8
#text=There , I dug a hole for the seeds .
8-1	There	O	O	_	_	
8-2	,	O	O	_	_	
8-3	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	9-1	
8-4	dug	O	B-ScrEv_dug_hole	_	_	
8-5	a	O	O	_	_	
8-6	hole	B-ScrPart_hole	O	_	_	
8-7	for	O	O	_	_	
8-8	the	O	O	_	_	
8-9	seeds	B-ScrPart_seeds	O	webanno.custom.Corefchains_	9-4	
8-10	.	O	O	_	_	

#id=9
#text=I put a few in , and covered dirt back on top .
9-1	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	10-3	
9-2	put	O	B-ScrEv_place_root	_	_	
9-3	a	O	O	_	_	
9-4	few	B-ScrPart_seeds	O	webanno.custom.Corefchains_	11-14	
9-5	in	O	O	_	_	
9-6	,	O	O	_	_	
9-7	and	O	O	_	_	
9-8	covered	O	B-ScrEv_refill_hole	_	_	
9-9	dirt	B-ScrPart_dirt	O	webanno.custom.Corefchains_	10-9	
9-10	back	O	O	_	_	
9-11	on	O	O	_	_	
9-12	top	O	O	_	_	
9-13	.	O	O	_	_	

#id=10
#text=After that I patted the the mound of earth back down .
10-1	After	O	O	_	_	
10-2	that	O	O	_	_	
10-3	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	11-6	
10-4	patted	O	B-ScrEv_damp_dirt	_	_	
10-5	the	O	O	_	_	
10-6	the	O	O	_	_	
10-7	mound	O	O	_	_	
10-8	of	O	O	_	_	
10-9	earth	B-ScrPart_dirt	O	webanno.custom.Corefchains_	11-17	
10-10	back	O	O	_	_	
10-11	down	O	O	_	_	
10-12	.	O	O	_	_	

#id=11
#text=Once that was done , I took my watering can and watered the seeds until the soil was fairly moist .
11-1	Once	O	O	_	_	
11-2	that	O	O	_	_	
11-3	was	O	O	_	_	
11-4	done	O	B-UnrelEv	_	_	
11-5	,	O	O	_	_	
11-6	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	11-8	
11-7	took	O	B-ScrEv_get_tools	_	_	
11-8	my	B-ScrPart_gardener	O	webanno.custom.Corefchains_	12-4	
11-9	watering	B-ScrPart_gardening_tool	O	_	_	
11-10	can	I-ScrPart_gardening_tool|B-ScrPart_gardening_tool	O	_	_	
11-11	and	O	O	_	_	
11-12	watered	O	B-ScrEv_water	_	_	
11-13	the	O	O	_	_	
11-14	seeds	B-ScrPart_seeds	O	_	_	
11-15	until	O	O	_	_	
11-16	the	O	O	_	_	
11-17	soil	B-ScrPart_dirt	O	_	_	
11-18	was	O	B-ScrEv_water	_	_	
11-19	fairly	O	O	_	_	
11-20	moist	O	O	_	_	
11-21	.	O	O	_	_	

#id=12
#text=After that , I went to put away gardening supplies .
12-1	After	O	O	_	_	
12-2	that	O	O	_	_	
12-3	,	O	O	_	_	
12-4	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	13-1	
12-5	went	O	B-UnrelEv	_	_	
12-6	to	O	O	_	_	
12-7	put	O	B-ScrEv_put_away_tools	_	_	
12-8	away	O	I-ScrEv_put_away_tools	_	_	
12-9	gardening	B-ScrPart_gardening_tool	O	_	_	
12-10	supplies	I-ScrPart_gardening_tool|B-ScrPart_gardening_tool	O	_	_	
12-11	.	O	O	_	_	

#id=13
#text=I planned to water my tree periodically .
13-1	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	13-5	
13-2	planned	O	B-UnrelEv	_	_	
13-3	to	O	O	_	_	
13-4	water	O	B-ScrEv_water	_	_	
13-5	my	B-ScrPart_gardener	O	webanno.custom.Corefchains_	14-1	
13-6	tree	B-ScrPart_tree	O	webanno.custom.Corefchains_	14-10	
13-7	periodically	O	O	_	_	
13-8	.	O	O	_	_	

#id=14
#text=I knew that if I took good care of it , it would grow up to be a full-sized tree . 
14-1	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	14-5	
14-2	knew	O	B-UnrelEv	_	_	
14-3	that	O	O	_	_	
14-4	if	O	O	_	_	
14-5	I	B-ScrPart_gardener	O	_	_	
14-6	took	O	B-ScrEv_water	_	_	
14-7	good	O	O	_	_	
14-8	care	B-SuppVComp	O	_	_	
14-9	of	O	O	_	_	
14-10	it	B-ScrPart_tree	O	webanno.custom.Corefchains_	14-12	
14-11	,	O	O	_	_	
14-12	it	B-ScrPart_tree	O	webanno.custom.Corefchains_	14-20	
14-13	would	O	O	_	_	
14-14	grow	O	B-RelNScrEv	_	_	
14-15	up	O	I-RelNScrEv	_	_	
14-16	to	O	O	_	_	
14-17	be	O	B-UnrelEv	_	_	
14-18	a	O	O	_	_	
14-19	full-sized	O	O	_	_	
14-20	tree	B-ScrPart_tree	O	_	_	
14-21	.	O	O	_	_	

