 # webanno.custom.Participants | Participants | Participant # webanno.custom.Events | Events
#id=1
#text=It was my son 's birthday so I decided to bake him a birthday cake .
1-1	It	B-No_label	B-webanno.custom.Participants_	O	
1-2	was	O	O	B-UnrelEv	
1-3	my	B-ScrPart_cook	B-webanno.custom.Participants_	O	
1-4	son	B-ScrPart_beneficiary	B-webanno.custom.Participants_	O	
1-5	's	O	O	O	
1-6	birthday	B-NPart	B-webanno.custom.Participants_	O	
1-7	so	O	O	O	
1-8	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
1-9	decided	O	O	B-UnrelEv	
1-10	to	O	O	O	
1-11	bake	O	O	B-Evoking	
1-12	him	B-ScrPart_beneficiary	B-webanno.custom.Participants_	I-Evoking	
1-13	a	O	O	I-Evoking	
1-14	birthday	B-ScrPart_cake	B-webanno.custom.Participants_	I-Evoking	
1-15	cake	I-ScrPart_cake|B-ScrPart_cake	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-Evoking	
1-16	.	O	O	O	

#id=2
#text=I went to the store and bought chocolate cake mix , oil , eggs , and frosting .
2-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
2-2	went	O	O	B-RelNScrEv	
2-3	to	O	O	O	
2-4	the	O	O	O	
2-5	store	B-ScrPart_store	B-webanno.custom.Participants_	O	
2-6	and	O	O	O	
2-7	bought	O	O	B-ScrEv_get_ingredients	
2-8	chocolate	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
2-9	cake	I-ScrPart_ingredients	I-webanno.custom.Participants_	O	
2-10	mix	I-ScrPart_ingredients|B-ScrPart_ingredients	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
2-11	,	O	O	O	
2-12	oil	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
2-13	,	O	O	O	
2-14	eggs	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
2-15	,	O	O	O	
2-16	and	O	O	O	
2-17	frosting	B-ScrPart_decoration	B-webanno.custom.Participants_	O	
2-18	.	O	O	O	
