 # webanno.custom.Participants | Participants | Participant # webanno.custom.Events | Events
#id=1
#text=I wanted to bake a cake for my husband for his birthday , but I was not sure how to do it .
1-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
1-2	wanted	O	O	B-UnrelEv	
1-3	to	O	O	O	
1-4	bake	O	O	B-Evoking	
1-5	a	O	O	I-Evoking	
1-6	cake	B-ScrPart_cake	B-webanno.custom.Participants_	I-Evoking	
1-7	for	O	O	O	
1-8	my	B-ScrPart_cook	B-webanno.custom.Participants_	O	
1-9	husband	B-ScrPart_beneficiary	B-webanno.custom.Participants_	O	
1-10	for	O	O	O	
1-11	his	B-ScrPart_beneficiary	B-webanno.custom.Participants_	O	
1-12	birthday	B-NPart	B-webanno.custom.Participants_	O	
1-13	,	O	O	O	
1-14	but	O	O	O	
1-15	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
1-16	was	O	O	B-UnrelEv	
1-17	not	O	O	O	
1-18	sure	O	O	O	
1-19	how	O	O	O	
1-20	to	O	O	O	
1-21	do	O	O	B-UnrelEv	
1-22	it	B-No_label	B-webanno.custom.Participants_	O	
1-23	.	O	O	O	

#id=2
#text=I decided to go to the store and buy a box of cake mix .
2-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
2-2	decided	O	O	B-UnrelEv	
2-3	to	O	O	O	
2-4	go	O	O	B-ScrEv_get_ingridients	
2-5	to	O	O	I-ScrEv_get_ingridients	
2-6	the	O	O	O	
2-7	store	B-ScrPart_store	B-webanno.custom.Participants_	O	
2-8	and	O	O	O	
2-9	buy	O	O	B-ScrEv_get_ingridients	
2-10	a	O	O	O	
2-11	box	B-ScrPart_baking_instructions	B-webanno.custom.Participants_	O	
2-12	of	O	O	O	
2-13	cake	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
2-14	mix	I-ScrPart_ingredients|B-ScrPart_ingredients	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
2-15	.	O	O	O	

#id=3
#text=The box said that I would need oil and eggs to make the cake , so I bought those items , too .
3-1	The	O	O	O	
3-2	box	B-ScrPart_baking_instructions	B-webanno.custom.Participants_	O	
3-3	said	O	O	B-UnrelEv	
3-4	that	O	O	O	
3-5	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
3-6	would	O	O	O	
3-7	need	O	O	B-UnrelEv	
3-8	oil	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
3-9	and	O	O	O	
3-10	eggs	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
3-11	to	O	O	O	
3-12	make	O	O	B-Evoking	
3-13	the	O	O	I-Evoking	
3-14	cake	B-ScrPart_cake	B-webanno.custom.Participants_	I-Evoking	
3-15	,	O	O	O	
3-16	so	O	O	O	
3-17	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
3-18	bought	O	O	B-ScrEv_get_ingridients	
3-19	those	O	O	O	
3-20	items	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
3-21	,	O	O	O	
3-22	too	O	O	O	
3-23	.	O	O	O	

#id=4
#text=When I got home , I followed the instructions listed on the box .
4-1	When	O	O	O	
4-2	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
4-3	got	O	O	B-RelNScrEv	
4-4	home	B-ScrPart_kitchen/location	B-webanno.custom.Participants_	O	
4-5	,	O	O	O	
4-6	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
4-7	followed	O	O	B-UnrelEv	
4-8	the	O	O	O	
4-9	instructions	B-ScrPart_baking_instructions	B-webanno.custom.Participants_	O	
4-10	listed	O	O	B-UnrelEv	
4-11	on	O	O	O	
4-12	the	O	O	O	
4-13	box	B-ScrPart_baking_instructions	B-webanno.custom.Participants_	O	
4-14	.	O	O	O	

#id=5
#text=I preheated my oven to 350 degrees and sprayed a baking pan with cooking spray .
5-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
5-2	preheated	O	O	B-ScrEv_preheat	
5-3	my	B-ScrPart_cook	B-webanno.custom.Participants_	O	
5-4	oven	B-ScrPart_oven	B-webanno.custom.Participants_	O	
5-5	to	O	O	O	
5-6	350	O	O	O	
5-7	degrees	B-ScrPart_temperature	B-webanno.custom.Participants_	O	
5-8	and	O	O	O	
5-9	sprayed	O	O	B-ScrEv_grease_cake_tin	
5-10	a	O	O	O	
5-11	baking	B-ScrPart_cake_tin	B-webanno.custom.Participants_	O	
5-12	pan	I-ScrPart_cake_tin|B-ScrPart_cake_tin	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
5-13	with	O	O	O	
5-14	cooking	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
5-15	spray	I-ScrPart_ingredients|B-ScrPart_ingredients	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
5-16	.	O	O	O	

#id=6
#text=I mixed together the cake mix , oil and eggs .
6-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
6-2	mixed	O	O	B-ScrEv_make_dough	
6-3	together	O	O	I-ScrEv_make_dough	
6-4	the	O	O	O	
6-5	cake	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
6-6	mix	I-ScrPart_ingredients|B-ScrPart_ingredients	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
6-7	,	O	O	O	
6-8	oil	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
6-9	and	O	O	O	
6-10	eggs	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
6-11	.	O	O	O	

#id=7
#text=Once it was mixed really well , I poured the cake batter into a pan .
7-1	Once	O	O	O	
7-2	it	B-ScrPart_dough	B-webanno.custom.Participants_	O	
7-3	was	O	O	O	
7-4	mixed	O	O	B-ScrEv_make_dough	
7-5	really	O	O	O	
7-6	well	O	O	O	
7-7	,	O	O	O	
7-8	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
7-9	poured	O	O	B-ScrEv_pour_dough	
7-10	the	O	O	O	
7-11	cake	B-ScrPart_dough	B-webanno.custom.Participants_	O	
7-12	batter	I-ScrPart_dough|B-ScrPart_dough	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
7-13	into	O	O	O	
7-14	a	O	O	O	
7-15	pan	B-ScrPart_cake_tin	B-webanno.custom.Participants_	O	
7-16	.	O	O	O	

#id=8
#text=I put the pan into the oven and set a timer .
8-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
8-2	put	O	O	B-ScrEv_put_cake_oven	
8-3	the	O	O	O	
8-4	pan	B-ScrPart_cake_tin	B-webanno.custom.Participants_	O	
8-5	into	O	O	O	
8-6	the	O	O	O	
8-7	oven	B-ScrPart_oven	B-webanno.custom.Participants_	O	
8-8	and	O	O	O	
8-9	set	O	O	B-ScrEv_set_time	
8-10	a	O	O	O	
8-11	timer	B-ScrPart_timer	B-webanno.custom.Participants_	O	
8-12	.	O	O	O	

#id=9
#text=When the timer went off , I took my cake out of the oven .
9-1	When	O	O	O	
9-2	the	O	O	O	
9-3	timer	B-ScrPart_timer	B-webanno.custom.Participants_	O	
9-4	went	O	O	B-RelNScrEv	
9-5	off	O	O	I-RelNScrEv	
9-6	,	O	O	O	
9-7	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
9-8	took	O	O	B-ScrEv_take_out_oven	
9-9	my	B-ScrPart_cook	B-webanno.custom.Participants_	O	
9-10	cake	B-ScrPart_cake	B-webanno.custom.Participants_	O	
9-11	out	O	O	O	
9-12	of	O	O	O	
9-13	the	O	O	O	
9-14	oven	B-ScrPart_oven	B-webanno.custom.Participants_	O	
9-15	.	O	O	O	

#id=10
#text=It looked and smelled great .
10-1	It	B-ScrPart_cake	B-webanno.custom.Participants_	O	
10-2	looked	O	O	B-UnrelEv	
10-3	and	O	O	O	
10-4	smelled	O	O	B-UnrelEv	
10-5	great	O	O	O	
10-6	.	O	O	O	

#id=11
#text=After it cooled off , I put vanilla frosting on the cake .
11-1	After	O	O	O	
11-2	it	B-ScrPart_cake	B-webanno.custom.Participants_	O	
11-3	cooled	O	O	B-ScrEv_cool_down	
11-4	off	O	O	I-ScrEv_cool_down	
11-5	,	O	O	O	
11-6	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
11-7	put	O	O	B-ScrEv_decorate	
11-8	vanilla	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
11-9	frosting	I-ScrPart_ingredients|B-ScrPart_ingredients	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
11-10	on	O	O	O	
11-11	the	O	O	O	
11-12	cake	B-ScrPart_cake	B-webanno.custom.Participants_	O	
11-13	.	O	O	O	

#id=12
#text=My husband enjoyed his cake very much . 
12-1	My	B-ScrPart_cook	B-webanno.custom.Participants_	O	
12-2	husband	B-ScrPart_beneficiary	B-webanno.custom.Participants_	O	
12-3	enjoyed	O	O	B-ScrEv_eat	
12-4	his	B-ScrPart_beneficiary	B-webanno.custom.Participants_	O	
12-5	cake	B-ScrPart_cake	B-webanno.custom.Participants_	O	
12-6	very	O	O	O	
12-7	much	O	O	O	
12-8	.	O	O	O	

