 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My wife and I flew on an airplane a couple of months ago .
1-1	My	B-webanno.custom.Participants_|B-webanno.custom.Participants_	B-ScrPart_passenger|B-ScrPart_passenger	O	_	_	
1-2	wife	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_passenger|B-ScrPart_passenger	O	_	_	
1-3	and	I-webanno.custom.Participants_	I-ScrPart_passenger	O	_	_	
1-4	I	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_passenger|B-ScrPart_passenger	O	_	_	
1-5	flew	O	O	B-Evoking	_	_	
1-6	on	O	O	I-Evoking	_	_	
1-7	an	O	O	I-Evoking	_	_	
1-8	airplane	B-webanno.custom.Participants_	B-ScrPart_plane	I-Evoking	_	_	
1-9	a	O	O	O	_	_	
1-10	couple	B-webanno.custom.Participants_	B-Head_of_Partitive	O	_	_	
1-11	of	O	O	O	_	_	
1-12	months	B-webanno.custom.Participants_	B-NPart	O	_	_	
1-13	ago	O	O	O	_	_	
1-14	.	O	O	O	_	_	

#id=2
#text=We were going to Las Vegas because a friend of mine was getting married .
2-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	_	_	
2-2	were	O	O	O	_	_	
2-3	going	O	O	B-???	_	_	
2-4	to	O	O	O	_	_	
2-5	Las	B-webanno.custom.Participants_	B-ScrPart_target_location	O	_	_	
2-6	Vegas	I-webanno.custom.Participants_	I-ScrPart_target_location	O	_	_	
2-7	because	O	O	O	_	_	
2-8	a	O	O	O	_	_	
2-9	friend	B-webanno.custom.Participants_	B-ScrPart_accomp_person	O	_	_	
2-10	of	O	O	O	_	_	
2-11	mine	B-webanno.custom.Participants_	B-ScrPart_passenger	O	_	_	
2-12	was	O	O	O	_	_	
2-13	getting	O	O	B-UnrelEv	_	_	
2-14	married	O	O	B-UnrelEv	_	_	
2-15	.	O	O	O	_	_	

#id=3
#text=He lives there and said that he would pick us up from the airport .
3-1	He	B-webanno.custom.Participants_	B-ScrPart_accomp_person	O	_	_	
3-2	lives	O	O	B-UnrelEv	_	_	
3-3	there	O	O	O	_	_	
3-4	and	O	O	O	_	_	
3-5	said	O	O	B-UnrelEv	_	_	
3-6	that	O	O	O	_	_	
3-7	he	B-webanno.custom.Participants_	B-ScrPart_accomp_person	O	_	_	
3-8	would	O	O	O	_	_	
3-9	pick	O	O	B-ScrEv_go_target_location	_	_	
3-10	us	B-webanno.custom.Participants_	B-ScrPart_passenger	O	_	_	
3-11	up	O	O	O	_	_	
3-12	from	O	O	O	_	_	
3-13	the	O	O	O	_	_	
3-14	airport	B-webanno.custom.Participants_	B-ScrPart_airport	O	_	_	
3-15	.	O	O	O	_	_	

#id=4
#text=But , the weather here was cold and there was freezing rain , so our flight was delayed for two hours .
4-1	But	O	O	O	_	_	
4-2	,	O	O	O	_	_	
4-3	the	O	O	O	_	_	
4-4	weather	B-webanno.custom.Participants_	B-NPart	O	_	_	
4-5	here	O	O	O	_	_	
4-6	was	O	O	B-UnrelEv	_	_	
4-7	cold	O	O	O	_	_	
4-8	and	O	O	O	_	_	
4-9	there	O	O	O	_	_	
4-10	was	O	O	B-UnrelEv	_	_	
4-11	freezing	O	O	O	_	_	
4-12	rain	B-webanno.custom.Participants_	B-NPart	O	_	_	
4-13	,	O	O	O	_	_	
4-14	so	O	O	O	_	_	
4-15	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	_	_	
4-16	flight	B-webanno.custom.Participants_	B-ScrPart_flight	O	_	_	
4-17	was	O	O	O	_	_	
4-18	delayed	O	O	B-RelNScrEv	_	_	
4-19	for	O	O	O	_	_	
4-20	two	B-webanno.custom.Participants_	B-ScrPart_time/date	O	_	_	
4-21	hours	I-webanno.custom.Participants_	I-ScrPart_time/date	O	_	_	
4-22	.	O	O	O	_	_	

#id=5
#text=It was kind of scary taking off because the weather was still cold and rainy , but after two hours of sitting there waiting , I was ready to go .
5-1	It	B-webanno.custom.Participants_	B-No_label	O	_	_	
5-2	was	O	O	B-UnrelEv	_	_	
5-3	kind	B-webanno.custom.Participants_	B-No_label	O	_	_	
5-4	of	O	O	O	_	_	
5-5	scary	O	O	O	_	_	
5-6	taking	O	O	B-ScrEv_take_off	_	_	
5-7	off	O	O	I-ScrEv_take_off	_	_	
5-8	because	O	O	O	_	_	
5-9	the	O	O	O	_	_	
5-10	weather	B-webanno.custom.Participants_	B-NPart	O	_	_	
5-11	was	O	O	B-UnrelEv	_	_	
5-12	still	O	O	O	_	_	
5-13	cold	O	O	O	_	_	
5-14	and	O	O	O	_	_	
