 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events
#id=1
#text=I flew on an airplane about 2 months ago .
1-1	I	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
1-2	flew	O	O	B-Evoking	
1-3	on	O	O	I-Evoking	
1-4	an	O	O	I-Evoking	
1-5	airplane	B-webanno.custom.Participants_	B-ScrPart_plane	I-Evoking	
1-6	about	O	O	O	
1-7	2	O	O	O	
1-8	months	B-webanno.custom.Participants_	B-ScrPart_time/date	O	
1-9	ago	O	O	O	
1-10	.	O	O	O	

#id=2
#text=I was going from Chicago to Los Angeles .
2-1	I	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
2-2	was	O	O	O	
2-3	going	O	O	B-RelNScrEv	
2-4	from	O	O	O	
2-5	Chicago	B-webanno.custom.Participants_	B-NPart	O	
2-6	to	O	O	O	
2-7	Los	B-webanno.custom.Participants_	B-ScrPart_target_location	O	
2-8	Angeles	I-webanno.custom.Participants_	I-ScrPart_target_location	O	
2-9	.	O	O	O	

#id=3
#text=It was a very early flight .
3-1	It	B-webanno.custom.Participants_	B-No_label	O	
3-2	was	O	O	B-UnrelEv	
3-3	a	O	O	O	
3-4	very	O	O	O	
3-5	early	O	O	O	
3-6	flight	B-webanno.custom.Participants_	B-ScrPart_flight	O	
3-7	.	O	O	O	

#id=4
#text=My brother was able to drop me off at the airport .
4-1	My	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
4-2	brother	B-webanno.custom.Participants_	B-ScrPart_accomp_person	O	
4-3	was	O	O	O	
4-4	able	O	O	O	
4-5	to	O	O	O	
4-6	drop	O	O	B-ScrEv_get_airport	
4-7	me	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
4-8	off	O	O	O	
4-9	at	O	O	O	
4-10	the	O	O	O	
4-11	airport	B-webanno.custom.Participants_	B-ScrPart_airport	O	
4-12	.	O	O	O	

#id=5
#text=I had already checked in online the night before and had no bags to check , so I walked straight to the security line .
5-1	I	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
5-2	had	O	O	O	
5-3	already	O	O	O	
5-4	checked	O	O	B-ScrEv_check_in	
5-5	in	O	O	I-ScrEv_check_in	
5-6	online	B-webanno.custom.Participants_	B-ScrPart_other	O	
5-7	the	O	O	O	
5-8	night	B-webanno.custom.Participants_	B-NPart	O	
5-9	before	O	O	O	
5-10	and	O	O	O	
5-11	had	O	O	B-UnrelEv	
5-12	no	O	O	O	
5-13	bags	B-webanno.custom.Participants_	B-ScrPart_check_in_luggage	O	
5-14	to	O	O	O	
