 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=For my first time flying in an airplane I ca n't say that I was too scared .
1-1	For	O	O	O	_	_	
1-2	my	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-9	
1-3	first	O	O	O	_	_	
1-4	time	O	O	O	_	_	
1-5	flying	O	O	B-Evoking	_	_	
1-6	in	O	O	I-Evoking	_	_	
1-7	an	O	O	I-Evoking	_	_	
1-8	airplane	B-webanno.custom.Participants_	B-ScrPart_plane	I-Evoking	webanno.custom.Corefchains_	2-12	
1-9	I	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-14	
1-10	ca	O	O	O	_	_	
1-11	n't	O	O	O	_	_	
1-12	say	O	O	B-UnrelEv	_	_	
1-13	that	O	O	O	_	_	
1-14	I	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	2-1	
1-15	was	O	O	O	_	_	
1-16	too	O	O	O	_	_	
1-17	scared	O	O	B-UnrelEv	_	_	
1-18	.	O	O	O	_	_	

#id=2
#text=I mean what could be so scary about being in a plane .
2-1	I	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-1	
2-2	mean	O	O	B-UnrelEv	_	_	
2-3	what	O	O	O	_	_	
2-4	could	O	O	O	_	_	
2-5	be	O	O	B-UnrelEv	_	_	
2-6	so	O	O	O	_	_	
2-7	scary	O	O	O	_	_	
2-8	about	O	O	O	_	_	
2-9	being	O	O	B-Evoking	_	_	
2-10	in	O	O	I-Evoking	_	_	
2-11	a	O	O	I-Evoking	_	_	
2-12	plane	B-webanno.custom.Participants_	B-ScrPart_plane	I-Evoking	webanno.custom.Corefchains_	9-5	
2-13	.	O	O	O	_	_	

#id=3
#text=I was pumped and ready for my first flight .
3-1	I	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-7	
3-2	was	O	O	O	_	_	
3-3	pumped	O	O	B-UnrelEv	_	_	
3-4	and	O	O	O	_	_	
3-5	ready	O	O	O	_	_	
3-6	for	O	O	O	_	_	
3-7	my	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-6	
3-8	first	O	O	O	_	_	
3-9	flight	B-webanno.custom.Participants_	B-ScrPart_flight	O	webanno.custom.Corefchains_	7-9	
3-10	.	O	O	O	_	_	

#id=4
#text=But first things first , I had to pack my suitcase .
4-1	But	O	O	O	_	_	
4-2	first	O	O	O	_	_	
4-3	things	O	O	O	_	_	
4-4	first	O	O	O	_	_	
4-5	,	O	O	O	_	_	
4-6	I	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-10	
4-7	had	O	O	O	_	_	
4-8	to	O	O	O	_	_	
4-9	pack	O	O	B-ScrEv_pack_luggage	_	_	
4-10	my	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	5-5	
4-11	suitcase	B-webanno.custom.Participants_	B-ScrPart_check_in_luggage	O	_	_	
4-12	.	O	O	O	_	_	

#id=5
#text=With this finished and my plane ticket purchased online -LRB- boy that 's convenient -RRB- I began the long wait for departure day .
5-1	With	O	O	O	_	_	
5-2	this	O	O	O	_	_	
5-3	finished	O	O	B-ScrEv_pack_luggage	_	_	
5-4	and	O	O	O	_	_	
5-5	my	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	5-16	
5-6	plane	B-webanno.custom.Participants_	B-ScrPart_ticket	O	_	_	
5-7	ticket	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_ticket|B-ScrPart_ticket	O	_	_	
5-8	purchased	O	O	B-ScrEv_get_ticket	_	_	
5-9	online	O	O	O	_	_	
5-10	-LRB-	O	O	O	_	_	
5-11	boy	O	O	O	_	_	
5-12	that	O	O	O	_	_	
5-13	's	O	O	B-UnrelEv	_	_	
5-14	convenient	O	O	O	_	_	
5-15	-RRB-	O	O	O	_	_	
5-16	I	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-4	
5-17	began	O	O	B-UnrelEv	_	_	
5-18	the	O	O	O	_	_	
5-19	long	O	O	O	_	_	
5-20	wait	O	O	O	_	_	
5-21	for	O	O	O	_	_	
5-22	departure	B-webanno.custom.Participants_	B-ScrPart_time/date	O	_	_	
5-23	day	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_time/date|B-ScrPart_time/date	O	webanno.custom.Corefchains_	6-2	
5-24	.	O	O	O	_	_	

#id=6
#text=When It came I rushed to the airport in my car , maybe a little too fast according to the driver who honked and put up a very rude message with one of his fingers .
6-1	When	O	O	O	_	_	
6-2	It	B-webanno.custom.Participants_	B-ScrPart_time/date	O	_	_	
6-3	came	O	O	B-UnrelEv	_	_	
6-4	I	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-10	
6-5	rushed	O	O	B-ScrEv_get_airport	_	_	
6-6	to	O	O	O	_	_	
6-7	the	O	O	O	_	_	
6-8	airport	B-webanno.custom.Participants_	B-ScrPart_airport	O	webanno.custom.Corefchains_	8-5	
6-9	in	O	O	O	_	_	
6-10	my	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	7-6	
6-11	car	O	O	O	_	_	
6-12	,	O	O	O	_	_	
6-13	maybe	O	O	O	_	_	
6-14	a	O	O	O	_	_	
6-15	little	O	O	O	_	_	
