 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My friend Adam and I decided to go to the flea market today because the weather was nice and we were hoping to take some random junk home with us .
1-1	My	B-ScrPart_rider	O	_	_	
1-2	friend	O	O	_	_	
1-3	Adam	O	O	_	_	
1-4	and	O	O	_	_	
1-5	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	1-1	
1-6	decided	O	B-UnrelEv	_	_	
1-7	to	O	O	_	_	
1-8	go	O	B-UnrelEv	_	_	
1-9	to	O	O	_	_	
1-10	the	O	O	_	_	
1-11	flea	O	O	_	_	
1-12	market	O	O	_	_	
1-13	today	O	O	_	_	
1-14	because	O	O	_	_	
1-15	the	O	O	_	_	
1-16	weather	O	O	_	_	
1-17	was	O	B-UnrelEv	_	_	
1-18	nice	O	O	_	_	
1-19	and	O	O	_	_	
1-20	we	O	O	_	_	
1-21	were	O	O	_	_	
1-22	hoping	O	B-UnrelEv	_	_	
1-23	to	O	O	_	_	
1-24	take	O	B-UnrelEv	_	_	
1-25	some	O	O	_	_	
1-26	random	O	O	_	_	
1-27	junk	O	O	_	_	
1-28	home	O	O	_	_	
1-29	with	O	O	_	_	
1-30	us	O	O	_	_	
1-31	.	O	O	_	_	

#id=2
#text=We walked around for a while , but nothing really caught our attention .
2-1	We	O	O	_	_	
2-2	walked	O	B-UnrelEv	_	_	
2-3	around	O	O	_	_	
2-4	for	O	O	_	_	
2-5	a	O	O	_	_	
2-6	while	O	O	_	_	
2-7	,	O	O	_	_	
2-8	but	O	O	_	_	
2-9	nothing	O	O	_	_	
2-10	really	O	O	_	_	
2-11	caught	O	B-UnrelEv	_	_	
2-12	our	O	O	_	_	
2-13	attention	O	O	_	_	
2-14	.	O	O	_	_	

#id=3
#text=We were looking for something special amount all this junk .
3-1	We	O	O	_	_	
3-2	were	O	O	_	_	
3-3	looking	O	B-UnrelEv	_	_	
3-4	for	O	I-UnrelEv	_	_	
3-5	something	O	O	_	_	
3-6	special	O	O	_	_	
3-7	amount	O	O	_	_	
3-8	all	O	O	_	_	
3-9	this	O	O	_	_	
3-10	junk	O	O	_	_	
3-11	.	O	O	_	_	

#id=4
#text=Suddenly something caught my eye , it was an old Schwinn with a flat tire .
4-1	Suddenly	O	O	_	_	
4-2	something	O	O	_	_	
4-3	caught	O	B-UnrelEv	_	_	
4-4	my	B-ScrPart_rider	O	webanno.custom.Corefchains_	1-5	
4-5	eye	O	O	_	_	
4-6	,	O	O	_	_	
4-7	it	O	O	_	_	
4-8	was	O	B-UnrelEv	_	_	
4-9	an	O	O	_	_	
4-10	old	O	O	_	_	
4-11	Schwinn	B-ScrPart_bicycle	O	_	_	
4-12	with	O	O	_	_	
4-13	a	O	O	_	_	
4-14	flat	O	O	_	_	
4-15	tire	B-ScrPart_tire	O	_	_	
4-16	.	O	O	_	_	

