the	12513	Evoking, 1
to	7160	ScrEv_wait, 1, UnrelEv, 1, ScrEv_take_off, 1
a	4863	Evoking, 2
was	2684	UnrelEv, 1510, RelNScrEv, 85, ScrEv_customer_opinion, 9, ScrEv_wait, 8, ScrEv_bus_stops, 8, Unclear, 8, Evoking, 6, ScrEv_leave, 6, ScrEv_cool_down, 4, ScrEv_return_book, 4, ScrEv_preheat, 3, ScrEv_check_temp, 3, ScrEv_board_bus, 2, ScrEv_fill_water/wait, 2, ScrEv_get_train_station, 2, ScrEv_make_dough, 2, ScrEv_place_root, 2, ScrEv_exit_plane, 2, ScrEv_put_new_tire, 1, ScrEv_train_arrives, 1, ScrEv_get_airport, 1, ScrEv_take_home, 1, ScrEv_take_off, 1, ScrEv_train_departs, 1, ScrEv_ride, 1, ScrEv_get_bus_stop, 1, ScrEv_notice_problem, 1, ScrEv_find_place, 1, ScrEv_arrive_destination, 1, ScrEv_water, 1, ScrEv_landing, 1, ScrEv_get_off, 1, ScrEv_board_plane, 1
it	2397	UnrelEv, 1
that	1515	Evoking, 1
with	1127	UnrelEv, 2
had	1048	UnrelEv, 327, RelNScrEv, 42, Evoking, 9, ScrEv_eat, 6, ScrEv_get_tools, 4, ScrEv_take_seat, 4, Unclear, 4, ScrEv_get_ingredients, 3, ScrEv_get_groceries, 2, ScrEv_notice_problem, 2, ScrEv_small_talk, 2, ScrEv_wait, 1, ScrEv_get_tree, 1, ScrEv_spend_time_train, 1, ScrEv_spend_time_bus, 1, ScrEv_find_place, 1, ScrEv_make_appointment, 1, ScrEv_other, 1, ScrEv_water, 1, ScrEv_sit_down, 1, ScrEv_listen_crew, 1, ScrEv_spend_time_flight, 1, ScrEv_take_tire_off, 1, ScrEv_place_root, 1, ScrEv_prepare_bath, 1, ScrEv_get_tickets, 1
bus	848	Evoking, 1
get	745	UnrelEv, 164, RelNScrEv, 115, Evoking, 69, ScrEv_get_groceries, 43, ScrEv_get_off, 38, ScrEv_get_out_bath, 21, ScrEv_board_bus, 18, ScrEv_get_ingredients, 18, ScrEv_board_plane, 15, ScrEv_sink_water, 14, ScrEv_get_tools, 12, ScrEv_prepare_bath, 9, ScrEv_spend_time_train, 8, ScrEv_other, 8, ScrEv_get_utensils, 7, ScrEv_go_security_checks, 7, ScrEv_wash, 6, ScrEv_get_salon, 6, ScrEv_take_shop_cart, 6, ScrEv_wait, 5, ScrEv_get_ticket, 4, ScrEv_get_on, 4, ScrEv_get_dressed, 4, ScrEv_get_bus_stop, 4, ScrEv_ride, 4, ScrEv_bus_stops, 4, ScrEv_make_appointment, 4, ScrEv_get_airport, 4, ScrEv_put_new_tire, 3, ScrEv_get_tree, 3, ScrEv_get_library, 3, ScrEv_go_grocery, 3, ScrEv_get_train_station, 3, Unclear, 3, ScrEv_retrieve_luggage, 3, ScrEv_leave, 3, ScrEv_check_temp, 3, ScrEv_turn_water_on, 2, ScrEv_undress, 2, ScrEv_move_section, 2, ScrEv_spend_time_flight, 2, ScrEv_take_tire_off, 2, ScrEv_take_book, 2, ScrEv_train_arrives, 2, ScrEv_find_place, 2, ScrEv_get_platform, 2, ScrEv_cut, 2, ScrEv_spend_time_bus, 2, ScrEv_enter, 1, ScrEv_get_receipt, 1, ScrEv_get_tire, 1, ScrEv_go_check_in, 1, ScrEv_relax, 1, ScrEv_go_checkout, 1, ScrEv_go_exit, 1, ScrEv_obtain_card, 1, ScrEv_take_clean_clothes, 1, ScrEv_get_shelf, 1, ScrEv_look_mirror, 1, ScrEv_dry, 1, ScrEv_get_plane, 1, ScrEv_enter_bathroom, 1, ScrEv_arrive_destination, 1, ScrEv_check_time-table, 1, ScrEv_find_terminal, 1, ScrEv_take_seat, 1, ScrEv_change_bus, 1, ScrEv_sit_down, 1, ScrEv_put_on_cape, 1, ScrEv_take_off_preparations, 1, ScrEv_register, 1, ScrEv_move_in_salon, 1, ScrEv_move_exit, 1, ScrEv_take_out_cake_tin, 1, ScrEv_get_tickets, 1, ScrEv_exit_plane, 1
