 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My wife and I were flying to New York City for a vacation .
1-1	My	B-webanno.custom.Participants_|B-webanno.custom.Participants_	B-ScrPart_passenger|B-ScrPart_passenger	O	_	_	
1-2	wife	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_passenger|B-ScrPart_passenger	O	_	_	
1-3	and	I-webanno.custom.Participants_	I-ScrPart_passenger	O	_	_	
1-4	I	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_passenger|B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-1	
1-5	were	O	O	O	_	_	
1-6	flying	O	O	B-Evoking	_	_	
1-7	to	O	O	O	_	_	
1-8	New	B-webanno.custom.Participants_	B-ScrPart_target_location	O	_	_	
1-9	York	I-webanno.custom.Participants_	I-ScrPart_target_location	O	_	_	
1-10	City	I-webanno.custom.Participants_	I-ScrPart_target_location	O	_	_	
1-11	for	O	O	O	_	_	
1-12	a	O	O	O	_	_	
1-13	vacation	O	O	O	_	_	
1-14	.	O	O	O	_	_	

#id=2
#text=We both like to fly .
2-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-1	
2-2	both	O	O	O	_	_	
2-3	like	O	O	B-UnrelEv	_	_	
2-4	to	O	O	O	_	_	
2-5	fly	O	O	B-Evoking	_	_	
2-6	.	O	O	O	_	_	

#id=3
#text=After going through the preliminaries and waiting in the lounge , we were soon stepping onto the plane and trying to find our seats .
3-1	After	O	O	O	_	_	
3-2	going	O	O	B-???	_	_	
3-3	through	O	O	I-???	_	_	
3-4	the	O	O	O	_	_	
3-5	preliminaries	B-webanno.custom.Participants_	B-???	O	_	_	
3-6	and	O	O	O	_	_	
3-7	waiting	O	O	B-ScrEv_wait_boarding	_	_	
3-8	in	O	O	O	_	_	
3-9	the	O	O	O	_	_	
3-10	lounge	B-webanno.custom.Participants_	B-NPart	O	_	_	
3-11	,	O	O	O	_	_	
3-12	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	2-1	
3-13	were	O	O	O	_	_	
3-14	soon	O	O	O	_	_	
3-15	stepping	O	O	B-ScrEv_board_plane	_	_	
3-16	onto	O	O	I-ScrEv_board_plane	_	_	
3-17	the	O	O	O	_	_	
3-18	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	_	_	
3-19	and	O	O	O	_	_	
3-20	trying	O	O	O	_	_	
3-21	to	O	O	O	_	_	
3-22	find	O	O	B-RelNScrEv	_	_	
3-23	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-12	
3-24	seats	B-webanno.custom.Participants_	B-ScrPart_seat	O	_	_	
3-25	.	O	O	O	_	_	

#id=4
#text=Planes can be crowded when one is getting on or off , but we found our seats and buckled in .
4-1	Planes	B-webanno.custom.Participants_	B-ScrPart_plane	O	_	_	
4-2	can	O	O	O	_	_	
4-3	be	O	O	B-UnrelEv	_	_	
4-4	crowded	O	O	O	_	_	
4-5	when	O	O	O	_	_	
4-6	one	B-webanno.custom.Participants_	B-ScrPart_passenger	O	_	_	
4-7	is	O	O	O	_	_	
4-8	getting	O	O	B-???	_	_	
4-9	on	O	O	O	_	_	
4-10	or	O	O	O	_	_	
4-11	off	O	O	O	_	_	
4-12	,	O	O	O	_	_	
4-13	but	O	O	O	_	_	
4-14	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-23	
4-15	found	O	O	B-RelNScrEv	_	_	
4-16	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-14	
4-17	seats	B-webanno.custom.Participants_	B-ScrPart_seat	O	webanno.custom.Corefchains_	3-24	
4-18	and	O	O	O	_	_	
4-19	buckled	O	O	B-ScrEv_buckle_seat_belt	_	_	
4-20	in	O	O	O	_	_	
4-21	.	O	O	O	_	_	

#id=5
#text=It took a bit of time for everyone to settle in , but before long the plane was taxiing down the runway .
5-1	It	O	O	O	_	_	
5-2	took	O	O	B-UnrelEv	_	_	
5-3	a	O	O	O	_	_	
5-4	bit	O	O	O	_	_	
5-5	of	O	O	O	_	_	
5-6	time	O	O	O	_	_	
5-7	for	O	O	O	_	_	
5-8	everyone	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-6	
5-9	to	O	O	O	_	_	
5-10	settle	O	O	B-ScrEv_take_seat	_	_	
5-11	in	O	O	I-ScrEv_take_seat	_	_	
5-12	,	O	O	O	_	_	
5-13	but	O	O	O	_	_	
