 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events
#id=1
#text=My sons and I were invited by their grandmother to come for a visit .
1-1	My	B-webanno.custom.Participants_|B-webanno.custom.Participants_	B-ScrPart_passenger|B-ScrPart_passenger	O	
1-2	sons	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_passenger|B-ScrPart_passenger	O	
1-3	and	I-webanno.custom.Participants_	I-ScrPart_passenger	O	
1-4	I	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_passenger|B-ScrPart_passenger	O	
1-5	were	O	O	O	
1-6	invited	O	O	B-UnrelEv	
1-7	by	O	O	O	
1-8	their	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
1-9	grandmother	B-webanno.custom.Participants_	B-ScrPart_accomp_person	O	
1-10	to	O	O	O	
1-11	come	O	O	B-UnrelEv	
1-12	for	O	O	O	
1-13	a	O	O	O	
1-14	visit	B-webanno.custom.Participants_	B-NPart	O	
1-15	.	O	O	O	

#id=2
#text=We decided to fly across the country .
2-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
2-2	decided	O	O	B-UnrelEv	
2-3	to	O	O	O	
2-4	fly	O	O	B-Evoking	
2-5	across	O	O	I-Evoking	
2-6	the	O	O	I-Evoking	
2-7	country	B-webanno.custom.Participants_	B-NPart	I-Evoking	
2-8	.	O	O	O	

#id=3
#text=We went to the airport and purchased plane tickets .
3-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
3-2	went	O	O	B-ScrEv_get_airport	
3-3	to	O	O	O	
3-4	the	O	O	O	
3-5	airport	B-webanno.custom.Participants_	B-ScrPart_airport	O	
3-6	and	O	O	O	
3-7	purchased	O	O	B-ScrEv_get_ticket	
3-8	plane	B-webanno.custom.Participants_	B-ScrPart_ticket	O	
3-9	tickets	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_ticket|B-ScrPart_ticket	O	
3-10	.	O	O	O	

#id=4
#text=Then we went home and packed our suitcases .
4-1	Then	O	O	O	
4-2	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
4-3	went	O	O	B-UnrelEv	
4-4	home	B-webanno.custom.Participants_	B-No_label	O	
4-5	and	O	O	O	
4-6	packed	O	O	B-ScrEv_pack_luggage	
4-7	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
4-8	suitcases	B-webanno.custom.Participants_	B-ScrPart_check_in_luggage	O	
4-9	.	O	O	O	

#id=5
#text=The next day we took a cab to the airport and hour early .
5-1	The	O	O	O	
5-2	next	O	O	O	
5-3	day	B-webanno.custom.Participants_	B-ScrPart_time/date	O	
5-4	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
5-5	took	I-webanno.custom.Participants_	I-ScrPart_passenger	B-ScrEv_get_airport	
5-6	a	O	O	O	
5-7	cab	B-webanno.custom.Participants_	B-NPart	O	
5-8	to	O	O	O	
5-9	the	O	O	O	
5-10	airport	B-webanno.custom.Participants_	B-ScrPart_airport	O	
5-11	and	O	O	O	
5-12	hour	B-webanno.custom.Participants_	B-ScrPart_time/date	O	
5-13	early	O	O	O	
5-14	.	O	O	O	

#id=6
#text=We went to the airlines check in area an waited in line to show our tickets , get our seat assignments and check out bags .
6-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
6-2	went	O	O	B-ScrEv_go_check_in	
6-3	to	O	O	O	
6-4	the	O	O	O	
6-5	airlines	B-webanno.custom.Participants_	B-ScrPart_other	O	
6-6	check	B-webanno.custom.Participants_	B-ScrPart_check_in_desk	O	
6-7	in	I-webanno.custom.Participants_	I-ScrPart_check_in_desk	O	
6-8	area	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_check_in_desk|B-ScrPart_check_in_desk	O	
6-9	an	O	O	O	
6-10	waited	O	O	B-ScrEv_wait	
6-11	in	O	O	O	
6-12	line	B-webanno.custom.Participants_	B-ScrPart_line	O	
6-13	to	O	O	O	
6-14	show	O	O	B-ScrEv_present_ID/ticket	
6-15	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
6-16	tickets	B-webanno.custom.Participants_	B-ScrPart_ticket	O	
6-17	,	O	O	O	
6-18	get	O	O	B-ScrEv_other	
6-19	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
6-20	seat	B-webanno.custom.Participants_	B-ScrPart_other	O	
6-21	assignments	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_other|B-ScrPart_other	O	
6-22	and	O	O	O	
6-23	check	O	O	B-ScrEv_other|B-ScrEv_other	
6-24	out	O	O	I-ScrEv_other	
6-25	bags	B-webanno.custom.Participants_	B-ScrPart_check_in_luggage	O	
6-26	.	O	O	O	

#id=7
#text=The we headed upstairs to the airplane gate .
7-1	The	O	O	O	
7-2	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
7-3	headed	O	O	B-ScrEv_find_terminal	
7-4	upstairs	B-webanno.custom.Participants_	B-NPart	O	
7-5	to	O	O	O	
7-6	the	O	O	O	
7-7	airplane	B-webanno.custom.Participants_	B-ScrPart_terminal/gate	O	
7-8	gate	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_terminal/gate|B-ScrPart_terminal/gate	O	
7-9	.	O	O	O	

#id=8
#text=There were many people flying on this plane and the waiting room was crowded .
8-1	There	B-webanno.custom.Participants_	B-ScrPart_terminal/gate	O	
8-2	were	O	O	B-UnrelEv	
8-3	many	O	O	O	
8-4	people	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
8-5	flying	O	O	B-Evoking	
8-6	on	O	O	I-Evoking	
8-7	this	O	O	I-Evoking	
8-8	plane	B-webanno.custom.Participants_	B-ScrPart_plane	I-Evoking	
8-9	and	O	O	O	
